Area Abbreviation,Area Code,Area,Item Code,Item,Element Code,Element,Unit,latitude,longitude,Y2009,Y2010,Y2011,Y2012,Y2013
AF,2,Jammu and Kashmir,2511,Wheat and products,5142,Food,1000 tonnes,33.94,67.71,4538,4605,4711,4810,4895
AF,2,Jammu and Kashmir,2805,Rice (Milled Equivalent),5142,Food,1000 tonnes,33.94,67.71,415,442,476,425,422
AF,2,Jammu and Kashmir,2513,Barley and products,5521,Feed,1000 tonnes,33.94,67.71,379,315,203,367,360
AF,2,Jammu and Kashmir,2513,Barley and products,5142,Food,1000 tonnes,33.94,67.71,55,60,72,78,89
AF,2,Jammu and Kashmir,2514,Maize and products,5521,Feed,1000 tonnes,33.94,67.71,195,178,191,200,200
AF,2,Jammu and Kashmir,2517,Millet and products,5142,Food,1000 tonnes,33.94,67.71,18,14,14,14,12
AF,2,Jammu and Kashmir,2520,"Cereals, Other",5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0
AF,2,Jammu and Kashmir,2531,Potatoes and products,5142,Food,1000 tonnes,33.94,67.71,250,192,169,196,230
AF,2,Jammu and Kashmir,2536,Sugar cane,5521,Feed,1000 tonnes,33.94,67.71,114,83,83,69,81
AF,2,Jammu and Kashmir,2542,Sugar (Raw Equivalent),5142,Food,1000 tonnes,33.94,67.71,231,240,240,250,255
AF,2,Jammu and Kashmir,2543,"Sweeteners, Other",5142,Food,1000 tonnes,33.94,67.71,2,9,21,24,16
AF,2,Jammu and Kashmir,2745,Honey,5142,Food,1000 tonnes,33.94,67.71,3,3,2,2,2
AF,2,Jammu and Kashmir,2549,"Pulses, Other and products",5521,Feed,1000 tonnes,33.94,67.71,5,4,5,4,4
AF,2,Jammu and Kashmir,2551,Nuts and products,5142,Food,1000 tonnes,33.94,67.71,28,66,71,70,44
AF,2,Jammu and Kashmir,2560,Coconuts - Incl Copra,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0
AF,2,Jammu and Kashmir,2561,Sesame seed,5142,Food,1000 tonnes,33.94,67.71,16,19,17,16,16
AF,2,Jammu and Kashmir,2563,Olives (including preserved),5142,Food,1000 tonnes,33.94,67.71,3,2,2,2,2
AF,2,Jammu and Kashmir,2571,Soyabean Oil,5142,Food,1000 tonnes,33.94,67.71,6,15,16,16,16
AF,2,Jammu and Kashmir,2572,Groundnut Oil,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0
AF,2,Jammu and Kashmir,2573,Sunflowerseed Oil,5142,Food,1000 tonnes,33.94,67.71,8,15,16,17,23
AF,2,Jammu and Kashmir,2574,Rape and Mustard Oil,5142,Food,1000 tonnes,33.94,67.71,6,1,2,2,2
AF,2,Jammu and Kashmir,2575,Cottonseed Oil,5142,Food,1000 tonnes,33.94,67.71,4,3,3,3,4
AF,2,Jammu and Kashmir,2577,Palm Oil,5142,Food,1000 tonnes,33.94,67.71,53,59,51,61,64
AF,2,Jammu and Kashmir,2579,Sesameseed Oil,5142,Food,1000 tonnes,33.94,67.71,1,1,2,1,1
AF,2,Jammu and Kashmir,2580,Olive Oil,5142,Food,1000 tonnes,33.94,67.71,1,1,1,1,1
AF,2,Jammu and Kashmir,2586,"Oilcrops Oil, Other",5142,Food,1000 tonnes,33.94,67.71,1,2,2,2,2
AF,2,Jammu and Kashmir,2601,Tomatoes and products,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0
AF,2,Jammu and Kashmir,2605,"Vegetables, Other",5142,Food,1000 tonnes,33.94,67.71,1056,977,865,910,885
