Area_Abbreviation,Area_Code,Area,Item_Code,Item,Element_Code,Element,Unit,latitude,longitude,Y2009,Y2010,Y2011,Y2012,Y2013
BD,16,Assam,2924,Alcoholic Beverages,5142,Food,1000 tonnes,23.68,90.36,4,5,4,3,3
BD,16,Assam,2946,Animal fats,5142,Food,1000 tonnes,23.68,90.36,47,48,50,51,52
BD,16,Assam,2617,Apples and products,5142,Food,1000 tonnes,23.68,90.36,140,163,145,129,148
BD,16,Assam,2769,"Aquatic Animals, Others",5142,Food,1000 tonnes,23.68,90.36,0,0,0,0,0
BD,16,Assam,2775,Aquatic Plants,5142,Food,1000 tonnes,23.68,90.36,0,0,0,0,0
BD,16,Assam,2961,"Aquatic Products, Other",5142,Food,1000 tonnes,23.68,90.36,0,0,0,0,0
BD,16,Assam,2615,Bananas,5142,Food,1000 tonnes,23.68,90.36,753,736,721,671,697
BD,16,Assam,2513,Barley and products,5521,Feed,1000 tonnes,23.68,90.36,0,0,0,0,0
BD,16,Assam,2546,Beans,5142,Food,1000 tonnes,23.68,90.36,46,45,46,47,47
BD,16,Assam,2656,Beer,5142,Food,1000 tonnes,23.68,90.36,3,4,3,3,2
BD,16,Assam,2657,"Beverages, Fermented",5142,Food,1000 tonnes,23.68,90.36,0,0,0,0,0
BD,16,Assam,2731,Bovine Meat,5142,Food,1000 tonnes,23.68,90.36,194,195,198,199,201
BD,16,Assam,2740,"Butter, Ghee",5142,Food,1000 tonnes,23.68,90.36,28,29,30,30,31
BD,16,Assam,2532,Cassava and products,5142,Food,1000 tonnes,23.68,90.36,21,26,23,20,23
BD,16,Assam,2766,Cephalopods,5142,Food,1000 tonnes,23.68,90.36,0,0,0,0,0
BD,16,Assam,2905,Cereals - Excluding Beer,5142,Food,1000 tonnes,23.68,90.36,28498,28769,29109,29428,29765
BD,16,Assam,2520,"Cereals, Other",5142,Food,1000 tonnes,23.68,90.36,3,0,0,0,0
BD,16,Assam,2614,"Citrus, Other",5142,Food,1000 tonnes,23.68,90.36,7,6,5,2,7
BD,16,Assam,2642,Cloves,5142,Food,1000 tonnes,23.68,90.36,1,1,0,0,0
BD,16,Assam,2633,Cocoa Beans and products,5142,Food,1000 tonnes,23.68,90.36,1,1,2,2,2
BD,16,Assam,2578,Coconut Oil,5142,Food,1000 tonnes,23.68,90.36,21,18,19,17,22
BD,16,Assam,2560,Coconuts - Incl Copra,5142,Food,1000 tonnes,23.68,90.36,11,6,6,6,6
BD,16,Assam,2630,Coffee and products,5142,Food,1000 tonnes,23.68,90.36,1,1,1,1,1
BD,16,Assam,2575,Cottonseed Oil,5142,Food,1000 tonnes,23.68,90.36,4,4,3,4,5
BD,16,Assam,2743,Cream,5142,Food,1000 tonnes,23.68,90.36,0,0,0,0,0
BD,16,Assam,2765,Crustaceans,5142,Food,1000 tonnes,23.68,90.36,181,214,179,179,179
BD,16,Assam,2619,Dates,5142,Food,1000 tonnes,23.68,90.36,2,2,1,1,1
BD,16,Assam,2762,Demersal Fish,5142,Food,1000 tonnes,23.68,90.36,89,90,94,94,94
BD,16,Assam,2949,Eggs,5142,Food,1000 tonnes,23.68,90.36,176,218,232,281,326
BD,16,Assam,2737,"Fats, Animals, Raw",5142,Food,1000 tonnes,23.68,90.36,19,20,20,20,21
BD,16,Assam,2781,"Fish, Body Oil",5142,Food,1000 tonnes,23.68,90.36,0,0,0,0,0
BD,16,Assam,2782,"Fish, Liver Oil",5142,Food,1000 tonnes,23.68,90.36,0,0,0,0,0
BD,16,Assam,2960,"Fish, Seafood",5142,Food,1000 tonnes,23.68,90.36,2775,2923,3008,3008,3008
BD,16,Assam,2761,Freshwater Fish,5142,Food,1000 tonnes,23.68,90.36,2232,2320,2546,2546,2546
BD,16,Assam,2919,Fruits - Excluding Wine,5142,Food,1000 tonnes,23.68,90.36,3593,3861,3599,3557,3654
BD,16,Assam,2625,"Fruits, Other",5142,Food,1000 tonnes,23.68,90.36,2259,2472,2239,2303,2356
BD,16,Assam,2613,Grapefruit and products,5142,Food,1000 tonnes,23.68,90.36,53,56,56,57,58
BD,16,Assam,2620,Grapes and products (excl wine),5142,Food,1000 tonnes,23.68,90.36,54,62,47,55,41
BD,16,Assam,2556,Groundnuts (Shelled Eq),5142,Food,1000 tonnes,23.68,90.36,4,5,5,5,5
BD,16,Assam,2745,Honey,5142,Food,1000 tonnes,23.68,90.36,0,0,0,0,0
BD,16,Assam,2680,Infant food,5142,Food,1000 tonnes,23.68,90.36,2,2,5,3,5
BD,16,Assam,2612,"Lemons, Limes and products",5142,Food,1000 tonnes,23.68,90.36,50,51,52,60,57
BD,16,Assam,2514,Maize and products,5142,Food,1000 tonnes,23.68,90.36,152,100,69,97,125
BD,16,Assam,2582,Maize Germ Oil,5142,Food,1000 tonnes,23.68,90.36,0,0,0,0,0
