Area_Abbreviation,Area_Code,Area,Item_Code,Item,Element_Code,Element,Unit,latitude,longitude,Y2009,Y2010,Y2011,Y2012,Y2013
BO,19,Bihar  ,2924,Alcoholic Beverages,5142,Food,1000 tonnes,-16.29,-63.59,316,323,320,381,383
BO,19,Bihar  ,2946,Animal fats,5142,Food,1000 tonnes,-16.29,-63.59,26,24,25,30,31
BO,19,Bihar  ,2617,Apples and products,5142,Food,1000 tonnes,-16.29,-63.59,22,24,24,26,31
BO,19,Bihar  ,2769,"Aquatic Animals, Others",5142,Food,1000 tonnes,-16.29,-63.59,0,0,0,0,0
BO,19,Bihar  ,2775,Aquatic Plants,5142,Food,1000 tonnes,-16.29,-63.59,0,0,0,0,0
BO,19,Bihar  ,2961,"Aquatic Products, Other",5142,Food,1000 tonnes,-16.29,-63.59,0,0,0,0,0
BO,19,Bihar  ,2615,Bananas,5142,Food,1000 tonnes,-16.29,-63.59,31,45,20,31,27
BO,19,Bihar  ,2513,Barley and products,5521,Feed,1000 tonnes,-16.29,-63.59,26,30,27,30,28
BO,19,Bihar  ,2546,Beans,5142,Food,1000 tonnes,-16.29,-63.59,0,19,33,16,32
BO,19,Bihar  ,2656,Beer,5142,Food,1000 tonnes,-16.29,-63.59,303,308,305,362,366
BO,19,Bihar  ,2657,"Beverages, Fermented",5142,Food,1000 tonnes,-16.29,-63.59,1,2,2,3,0
BO,19,Bihar  ,2731,Bovine Meat,5142,Food,1000 tonnes,-16.29,-63.59,203,202,204,211,211
BO,19,Bihar  ,2740,"Butter, Ghee",5142,Food,1000 tonnes,-16.29,-63.59,0,0,0,1,1
BO,19,Bihar  ,2532,Cassava and products,5142,Food,1000 tonnes,-16.29,-63.59,152,166,179,161,167
BO,19,Bihar  ,2766,Cephalopods,5142,Food,1000 tonnes,-16.29,-63.59,0,0,0,0,0
BO,19,Bihar  ,2905,Cereals - Excluding Beer,5142,Food,1000 tonnes,-16.29,-63.59,1210,1227,1222,1254,1270
BO,19,Bihar  ,2520,"Cereals, Other",5521,Feed,1000 tonnes,-16.29,-63.59,1,0,1,0,0
BO,19,Bihar  ,2614,"Citrus, Other",5142,Food,1000 tonnes,-16.29,-63.59,0,0,0,0,0
BO,19,Bihar  ,2642,Cloves,5142,Food,1000 tonnes,-16.29,-63.59,0,0,0,0,0
BO,19,Bihar  ,2633,Cocoa Beans and products,5142,Food,1000 tonnes,-16.29,-63.59,11,10,12,11,14
BO,19,Bihar  ,2578,Coconut Oil,5142,Food,1000 tonnes,-16.29,-63.59,0,0,0,0,0
BO,19,Bihar  ,2560,Coconuts - Incl Copra,5142,Food,1000 tonnes,-16.29,-63.59,2,1,1,3,1
BO,19,Bihar  ,2630,Coffee and products,5142,Food,1000 tonnes,-16.29,-63.59,24,24,24,26,29
BO,19,Bihar  ,2575,Cottonseed Oil,5142,Food,1000 tonnes,-16.29,-63.59,10,10,10,11,11
BO,19,Bihar  ,2743,Cream,5142,Food,1000 tonnes,-16.29,-63.59,0,0,0,0,0
BO,19,Bihar  ,2765,Crustaceans,5142,Food,1000 tonnes,-16.29,-63.59,0,0,0,0,0
BO,19,Bihar  ,2619,Dates,5142,Food,1000 tonnes,-16.29,-63.59,0,0,0,0,0
BO,19,Bihar  ,2762,Demersal Fish,5142,Food,1000 tonnes,-16.29,-63.59,0,0,0,0,0
BO,19,Bihar  ,2949,Eggs,5142,Food,1000 tonnes,-16.29,-63.59,53,53,54,54,55
BO,19,Bihar  ,2737,"Fats, Animals, Raw",5142,Food,1000 tonnes,-16.29,-63.59,25,23,24,29,30
BO,19,Bihar  ,2781,"Fish, Body Oil",5142,Food,1000 tonnes,-16.29,-63.59,0,0,0,0,0
BO,19,Bihar  ,2782,"Fish, Liver Oil",5142,Food,1000 tonnes,-16.29,-63.59,0,0,0,0,0
BO,19,Bihar  ,2960,"Fish, Seafood",5521,Feed,1000 tonnes,-16.29,-63.59,0,0,0,0,0
BO,19,Bihar  ,2761,Freshwater Fish,5142,Food,1000 tonnes,-16.29,-63.59,7,7,8,8,8
BO,19,Bihar  ,2919,Fruits - Excluding Wine,5142,Food,1000 tonnes,-16.29,-63.59,701,729,719,749,741
BO,19,Bihar  ,2625,"Fruits, Other",5142,Food,1000 tonnes,-16.29,-63.59,71,71,75,77,79
BO,19,Bihar  ,2613,Grapefruit and products,5142,Food,1000 tonnes,-16.29,-63.59,8,9,9,10,8
BO,19,Bihar  ,2620,Grapes and products (excl wine),5142,Food,1000 tonnes,-16.29,-63.59,14,15,16,16,20
BO,19,Bihar  ,2556,Groundnuts (Shelled Eq),5142,Food,1000 tonnes,-16.29,-63.59,5,4,3,4,6
BO,19,Bihar  ,2745,Honey,5142,Food,1000 tonnes,-16.29,-63.59,1,1,1,1,1
BO,19,Bihar  ,2680,Infant food,5142,Food,1000 tonnes,-16.29,-63.59,1,2,3,3,3
BO,19,Bihar  ,2612,"Lemons, Limes and products",5142,Food,1000 tonnes,-16.29,-63.59,17,18,19,21,22
BO,19,Bihar  ,2514,Maize and products,5142,Food,1000 tonnes,-16.29,-63.59,401,391,401,410,415
BO,19,Bihar  ,2582,Maize Germ Oil,5142,Food,1000 tonnes,-16.29,-63.59,0,0,0,0,0
BO,19,Bihar  ,2764,"Marine Fish, Other",5142,Food,1000 tonnes,-16.29,-63.59,9,6,8,8,10
BO,19,Bihar  ,2943,Meat,5142,Food,1000 tonnes,-16.29,-63.59,640,702,704,702,708
BO,19,Bihar  ,2735,"Meat, Other",5142,Food,1000 tonnes,-16.29,-63.59,15,15,18,18,18
BO,19,Bihar  ,2948,Milk - Excluding Butter,5142,Food,1000 tonnes,-16.29,-63.59,362,406,468,499,491
BO,19,Bihar  ,2517,Millet and products,5521,Feed,1000 tonnes,-16.29,-63.59,0,0,0,0,0
BO,19,Bihar  ,2928,Miscellaneous,5142,Food,1000 tonnes,-16.29,-63.59,1,2,3,3,3
BO,19,Bihar  ,2767,"Molluscs, Other",5142,Food,1000 tonnes,-16.29,-63.59,0,0,0,0,0
BO,19,Bihar  ,2732,Mutton & Goat Meat,5142,Food,1000 tonnes,-16.29,-63.59,17,18,18,19,18
