Area_Abbreviation,Area_Code,Area,Item_Code,Item,Element_Code,Element,Unit,latitude,longitude,Y2009,Y2010,Y2011,Y2012,Y2013
AR,9,Himachal Pradesh,2924,Alcoholic Beverages,5142,Food,1000 tonnes,-38.42,-63.62,2818,2760,2726,2730,2950
AR,9,Himachal Pradesh,2946,Animal fats,5521,Feed,1000 tonnes,-38.42,-63.62,0,0,0,0,0
AR,9,Himachal Pradesh,2617,Apples and products,5142,Food,1000 tonnes,-38.42,-63.62,462,575,505,561,817
AR,9,Himachal Pradesh,2769,"Aquatic Animals, Others",5142,Food,1000 tonnes,-38.42,-63.62,0,0,0,0,0
AR,9,Himachal Pradesh,2775,Aquatic Plants,5142,Food,1000 tonnes,-38.42,-63.62,0,0,0,0,0
AR,9,Himachal Pradesh,2615,Bananas,5142,Food,1000 tonnes,-38.42,-63.62,478,486,527,507,532
AR,9,Himachal Pradesh,2513,Barley and products,5521,Feed,1000 tonnes,-38.42,-63.62,8,31,46,16,13
AR,9,Himachal Pradesh,2546,Beans,5142,Food,1000 tonnes,-38.42,-63.62,13,3,1,0,9
AR,9,Himachal Pradesh,2656,Beer,5142,Food,1000 tonnes,-38.42,-63.62,1705,1706,1667,1645,1833
AR,9,Himachal Pradesh,2657,"Beverages, Fermented",5142,Food,1000 tonnes,-38.42,-63.62,2,1,0,1,4
AR,9,Himachal Pradesh,2731,Bovine Meat,5142,Food,1000 tonnes,-38.42,-63.62,2184,2206,2238,2272,2300
AR,9,Himachal Pradesh,2740,"Butter, Ghee",5142,Food,1000 tonnes,-38.42,-63.62,37,41,35,37,38
AR,9,Himachal Pradesh,2532,Cassava and products,5142,Food,1000 tonnes,-38.42,-63.62,75,77,80,81,78
AR,9,Himachal Pradesh,2766,Cephalopods,5142,Food,1000 tonnes,-38.42,-63.62,20,34,26,28,63
AR,9,Himachal Pradesh,2905,Cereals - Excluding Beer,5142,Food,1000 tonnes,-38.42,-63.62,4734,4811,4736,4862,5116
AR,9,Himachal Pradesh,2520,"Cereals, Other",5142,Food,1000 tonnes,-38.42,-63.62,16,18,16,13,19
AR,9,Himachal Pradesh,2642,Cloves,5142,Food,1000 tonnes,-38.42,-63.62,0,0,0,0,0
AR,9,Himachal Pradesh,2633,Cocoa Beans and products,5142,Food,1000 tonnes,-38.42,-63.62,32,36,35,40,40
AR,9,Himachal Pradesh,2560,Coconuts - Incl Copra,5142,Food,1000 tonnes,-38.42,-63.62,17,18,13,17,10
AR,9,Himachal Pradesh,2630,Coffee and products,5142,Food,1000 tonnes,-38.42,-63.62,41,47,46,46,49
AR,9,Himachal Pradesh,2575,Cottonseed Oil,5142,Food,1000 tonnes,-38.42,-63.62,4,7,7,4,3
AR,9,Himachal Pradesh,2743,Cream,5142,Food,1000 tonnes,-38.42,-63.62,3,3,3,4,4
AR,9,Himachal Pradesh,2765,Crustaceans,5142,Food,1000 tonnes,-38.42,-63.62,3,11,9,6,13
AR,9,Himachal Pradesh,2619,Dates,5142,Food,1000 tonnes,-38.42,-63.62,0,0,0,0,0
AR,9,Himachal Pradesh,2762,Demersal Fish,5142,Food,1000 tonnes,-38.42,-63.62,93,88,95,108,109
AR,9,Himachal Pradesh,2949,Eggs,5142,Food,1000 tonnes,-38.42,-63.62,434,474,498,505,472
AR,9,Himachal Pradesh,2781,"Fish, Body Oil",5142,Food,1000 tonnes,-38.42,-63.62,0,0,0,0,0
AR,9,Himachal Pradesh,2782,"Fish, Liver Oil",5142,Food,1000 tonnes,-38.42,-63.62,0,0,0,0,0
AR,9,Himachal Pradesh,2960,"Fish, Seafood",5142,Food,1000 tonnes,-38.42,-63.62,244,236,245,241,292
AR,9,Himachal Pradesh,2761,Freshwater Fish,5142,Food,1000 tonnes,-38.42,-63.62,5,5,7,10,9
AR,9,Himachal Pradesh,2919,Fruits - Excluding Wine,5142,Food,1000 tonnes,-38.42,-63.62,3007,3014,3720,3307,3167
AR,9,Himachal Pradesh,2625,"Fruits, Other",5142,Food,1000 tonnes,-38.42,-63.62,460,585,526,677,508
AR,9,Himachal Pradesh,2613,Grapefruit and products,5142,Food,1000 tonnes,-38.42,-63.62,174,132,135,123,158
AR,9,Himachal Pradesh,2620,Grapes and products (excl wine),5142,Food,1000 tonnes,-38.42,-63.62,33,16,23,40,44
AR,9,Himachal Pradesh,2556,Groundnuts (Shelled Eq),5142,Food,1000 tonnes,-38.42,-63.62,0,0,0,0,2
AR,9,Himachal Pradesh,2745,Honey,5142,Food,1000 tonnes,-38.42,-63.62,4,1,0,1,2
AR,9,Himachal Pradesh,2612,"Lemons, Limes and products",5142,Food,1000 tonnes,-38.42,-63.62,480,340,705,391,176
AR,9,Himachal Pradesh,2514,Maize and products,5142,Food,1000 tonnes,-38.42,-63.62,403,405,405,431,433
AR,9,Himachal Pradesh,2582,Maize Germ Oil,5142,Food,1000 tonnes,-38.42,-63.62,14,14,10,26,25
AR,9,Himachal Pradesh,2764,"Marine Fish, Other",5142,Food,1000 tonnes,-38.42,-63.62,3,1,0,0,0
AR,9,Himachal Pradesh,2943,Meat,5142,Food,1000 tonnes,-38.42,-63.62,3988,4066,4290,4366,4445
AR,9,Himachal Pradesh,2735,"Meat, Other",5142,Food,1000 tonnes,-38.42,-63.62,54,50,49,42,43
AR,9,Himachal Pradesh,2948,Milk - Excluding Butter,5142,Food,1000 tonnes,-38.42,-63.62,7662,7729,7701,8016,8085
AR,9,Himachal Pradesh,2517,Millet and products,5521,Feed,1000 tonnes,-38.42,-63.62,3,1,0,9,4
AR,9,Himachal Pradesh,2767,"Molluscs, Other",5142,Food,1000 tonnes,-38.42,-63.62,62,35,38,30,36
AR,9,Himachal Pradesh,2732,Mutton & Goat Meat,5142,Food,1000 tonnes,-38.42,-63.62,84,78,70,66,65
AR,9,Himachal Pradesh,2551,Nuts and products,5142,Food,1000 tonnes,-38.42,-63.62,18,17,17,19,18
