Area_Abbreviation,Area_Code,Area,Item_Code,Item,Element_Code,Element,Unit,latitude,longitude,Y2009,Y2010,Y2011,Y2012,Y2013
BB,14,Jharkhand,2924,Alcoholic Beverages,5142,Food,1000 tonnes,13.19,-59.54,15,16,15,18,18
BB,14,Jharkhand,2946,Animal fats,5142,Food,1000 tonnes,13.19,-59.54,2,2,2,2,2
BB,14,Jharkhand,2617,Apples and products,5142,Food,1000 tonnes,13.19,-59.54,4,7,6,4,4
BB,14,Jharkhand,2775,Aquatic Plants,5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2961,"Aquatic Products, Other",5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2615,Bananas,5142,Food,1000 tonnes,13.19,-59.54,3,3,3,3,3
BB,14,Jharkhand,2513,Barley and products,5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2546,Beans,5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2656,Beer,5142,Food,1000 tonnes,13.19,-59.54,12,13,13,15,15
BB,14,Jharkhand,2657,"Beverages, Fermented",5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2731,Bovine Meat,5142,Food,1000 tonnes,13.19,-59.54,4,4,3,3,4
BB,14,Jharkhand,2740,"Butter, Ghee",5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2532,Cassava and products,5142,Food,1000 tonnes,13.19,-59.54,1,0,0,0,0
BB,14,Jharkhand,2766,Cephalopods,5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2905,Cereals - Excluding Beer,5142,Food,1000 tonnes,13.19,-59.54,25,26,27,27,28
BB,14,Jharkhand,2520,"Cereals, Other",5142,Food,1000 tonnes,13.19,-59.54,0,1,1,1,1
BB,14,Jharkhand,2614,"Citrus, Other",5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2642,Cloves,5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2633,Cocoa Beans and products,5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2578,Coconut Oil,5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2560,Coconuts - Incl Copra,5142,Food,1000 tonnes,13.19,-59.54,2,2,2,2,2
BB,14,Jharkhand,2630,Coffee and products,5142,Food,1000 tonnes,13.19,-59.54,1,1,1,1,1
BB,14,Jharkhand,2575,Cottonseed Oil,5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2743,Cream,5142,Food,1000 tonnes,13.19,-59.54,1,1,1,1,1
BB,14,Jharkhand,2765,Crustaceans,5142,Food,1000 tonnes,13.19,-59.54,0,1,1,1,1
BB,14,Jharkhand,2619,Dates,5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2762,Demersal Fish,5142,Food,1000 tonnes,13.19,-59.54,1,1,1,1,1
BB,14,Jharkhand,2744,Eggs,5142,Food,1000 tonnes,13.19,-59.54,2,2,2,2,3
BB,14,Jharkhand,2737,"Fats, Animals, Raw",5142,Food,1000 tonnes,13.19,-59.54,1,1,1,1,1
BB,14,Jharkhand,2781,"Fish, Body Oil",5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2782,"Fish, Liver Oil",5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2960,"Fish, Seafood",5142,Food,1000 tonnes,13.19,-59.54,11,11,11,11,11
BB,14,Jharkhand,2761,Freshwater Fish,5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2919,Fruits - Excluding Wine,5142,Food,1000 tonnes,13.19,-59.54,34,35,32,29,27
BB,14,Jharkhand,2625,"Fruits, Other",5142,Food,1000 tonnes,13.19,-59.54,8,9,7,7,7
BB,14,Jharkhand,2613,Grapefruit and products,5142,Food,1000 tonnes,13.19,-59.54,1,1,2,0,1
BB,14,Jharkhand,2620,Grapes and products (excl wine),5142,Food,1000 tonnes,13.19,-59.54,2,2,2,2,2
BB,14,Jharkhand,2556,Groundnuts (Shelled Eq),5142,Food,1000 tonnes,13.19,-59.54,1,1,1,0,1
BB,14,Jharkhand,2745,Honey,5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2680,Infant food,5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2612,"Lemons, Limes and products",5142,Food,1000 tonnes,13.19,-59.54,0,0,0,1,1
BB,14,Jharkhand,2514,Maize and products,5142,Food,1000 tonnes,13.19,-59.54,4,4,4,3,3
BB,14,Jharkhand,2582,Maize Germ Oil,5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2764,"Marine Fish, Other",5142,Food,1000 tonnes,13.19,-59.54,2,3,3,3,3
BB,14,Jharkhand,2735,"Meat, Other",5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2948,Milk - Excluding Butter,5142,Food,1000 tonnes,13.19,-59.54,28,29,28,32,31
BB,14,Jharkhand,2517,Millet and products,5521,Feed,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2928,Miscellaneous,5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2767,"Molluscs, Other",5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2732,Mutton & Goat Meat,5142,Food,1000 tonnes,13.19,-59.54,1,2,1,1,1
BB,14,Jharkhand,2551,Nuts and products,5142,Food,1000 tonnes,13.19,-59.54,1,0,1,1,1
BB,14,Jharkhand,2516,Oats,5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2945,Offals,5142,Food,1000 tonnes,13.19,-59.54,1,1,1,1,1
BB,14,Jharkhand,2736,"Offals, Edible",5142,Food,1000 tonnes,13.19,-59.54,1,1,1,1,1
BB,14,Jharkhand,2913,Oilcrops,5142,Food,1000 tonnes,13.19,-59.54,3,3,3,3,3
BB,14,Jharkhand,2586,"Oilcrops Oil, Other",5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2570,"Oilcrops, Other",5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2580,Olive Oil,5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2563,Olives (including preserved),5142,Food,1000 tonnes,13.19,-59.54,0,0,0,0,0
BB,14,Jharkhand,2602,Onions,5142,Food,1000 tonnes,13.19,-59.54,3,2,2,2,2
