Area_Abbreviation,Area_Code,Area,Item_Code,Item,Element_Code,Element,Unit,latitude,longitude,Y2009,Y2010,Y2011,Y2012,Y2013
AO,7,Manipur,2924,Alcoholic Beverages,5142,Food,1000 tonnes,-11.2,17.87,1149,1342,1482,1760,1761
AO,7,Manipur,2946,Animal fats,5521,Feed,1000 tonnes,-11.2,17.87,4,4,4,4,4
AO,7,Manipur,2617,Apples and products,5142,Food,1000 tonnes,-11.2,17.87,4,10,18,24,22
AO,7,Manipur,2769,"Aquatic Animals, Others",5142,Food,1000 tonnes,-11.2,17.87,0,0,0,0,0
AO,7,Manipur,2775,Aquatic Plants,5142,Food,1000 tonnes,-11.2,17.87,0,0,0,0,0
AO,7,Manipur,2961,"Aquatic Products, Other",5142,Food,1000 tonnes,-11.2,17.87,0,0,0,0,0
AO,7,Manipur,2615,Bananas,5142,Food,1000 tonnes,-11.2,17.87,978,1040,987,1116,1154
AO,7,Manipur,2513,Barley and products,5142,Food,1000 tonnes,-11.2,17.87,0,0,0,0,0
AO,7,Manipur,2546,Beans,5142,Food,1000 tonnes,-11.2,17.87,164,170,183,185,192
AO,7,Manipur,2656,Beer,5142,Food,1000 tonnes,-11.2,17.87,822,900,1008,1163,1214
AO,7,Manipur,2657,"Beverages, Fermented",5142,Food,1000 tonnes,-11.2,17.87,219,304,335,455,404
AO,7,Manipur,2731,Bovine Meat,5142,Food,1000 tonnes,-11.2,17.87,135,130,143,170,181
AO,7,Manipur,2740,"Butter, Ghee",5142,Food,1000 tonnes,-11.2,17.87,1,1,1,2,2
AO,7,Manipur,2532,Cassava and products,5521,Feed,1000 tonnes,-11.2,17.87,6080,6000,6280,4880,8880
AO,7,Manipur,2766,Cephalopods,5142,Food,1000 tonnes,-11.2,17.87,2,1,1,1,1
AO,7,Manipur,2905,Cereals - Excluding Beer,5521,Feed,1000 tonnes,-11.2,17.87,142,179,216,105,316
AO,7,Manipur,2614,"Citrus, Other",5142,Food,1000 tonnes,-11.2,17.87,209,223,240,180,274
AO,7,Manipur,2642,Cloves,5142,Food,1000 tonnes,-11.2,17.87,0,0,0,0,0
AO,7,Manipur,2633,Cocoa Beans and products,5142,Food,1000 tonnes,-11.2,17.87,4,3,3,4,3
AO,7,Manipur,2578,Coconut Oil,5142,Food,1000 tonnes,-11.2,17.87,0,0,0,0,0
AO,7,Manipur,2560,Coconuts - Incl Copra,5142,Food,1000 tonnes,-11.2,17.87,4,1,2,5,3
AO,7,Manipur,2630,Coffee and products,5142,Food,1000 tonnes,-11.2,17.87,12,47,49,50,13
AO,7,Manipur,2575,Cottonseed Oil,5142,Food,1000 tonnes,-11.2,17.87,0,1,1,1,1
AO,7,Manipur,2765,Crustaceans,5142,Food,1000 tonnes,-11.2,17.87,1,1,1,1,1
AO,7,Manipur,2619,Dates,5142,Food,1000 tonnes,-11.2,17.87,0,0,0,0,0
AO,7,Manipur,2762,Demersal Fish,5142,Food,1000 tonnes,-11.2,17.87,128,131,131,131,131
AO,7,Manipur,2949,Eggs,5142,Food,1000 tonnes,-11.2,17.87,24,33,36,47,24
AO,7,Manipur,2737,"Fats, Animals, Raw",5142,Food,1000 tonnes,-11.2,17.87,8,9,16,13,11
AO,7,Manipur,2781,"Fish, Body Oil",5142,Food,1000 tonnes,-11.2,17.87,0,0,0,0,0
AO,7,Manipur,2960,"Fish, Seafood",5142,Food,1000 tonnes,-11.2,17.87,306,316,329,329,329
AO,7,Manipur,2761,Freshwater Fish,5142,Food,1000 tonnes,-11.2,17.87,17,20,20,20,20
