Area_Abbreviation,Area_Code,Area,Item_Code,Item,Element_Code,Element,Unit,latitude,longitude,Y2009,Y2010,Y2011,Y2012,Y2013
AT,11,Meghalaya,2924,Alcoholic Beverages,5142,Food,1000 tonnes,47.52,14.55,1193,1174,1202,1172,1222
AT,11,Meghalaya,2946,Animal fats,5142,Food,1000 tonnes,47.52,14.55,184,196,205,206,213
AT,11,Meghalaya,2617,Apples and products,5142,Food,1000 tonnes,47.52,14.55,373,403,448,512,411
AT,11,Meghalaya,2769,"Aquatic Animals, Others",5142,Food,1000 tonnes,47.52,14.55,1,1,1,0,0
AT,11,Meghalaya,2775,Aquatic Plants,5142,Food,1000 tonnes,47.52,14.55,0,0,0,0,0
AT,11,Meghalaya,2961,"Aquatic Products, Other",5142,Food,1000 tonnes,47.52,14.55,1,1,1,0,0
AT,11,Meghalaya,2615,Bananas,5142,Food,1000 tonnes,47.52,14.55,95,103,99,96,93
AT,11,Meghalaya,2513,Barley and products,5521,Feed,1000 tonnes,47.52,14.55,702,665,654,528,561
AT,11,Meghalaya,2546,Beans,5142,Food,1000 tonnes,47.52,14.55,2,2,2,2,2
AT,11,Meghalaya,2656,Beer,5142,Food,1000 tonnes,47.52,14.55,877,876,903,874,908
AT,11,Meghalaya,2658,"Beverages, Alcoholic",5142,Food,1000 tonnes,47.52,14.55,43,38,37,39,42
AT,11,Meghalaya,2731,Bovine Meat,5142,Food,1000 tonnes,47.52,14.55,145,146,146,148,146
AT,11,Meghalaya,2740,"Butter, Ghee",5142,Food,1000 tonnes,47.52,14.55,46,45,46,47,47
AT,11,Meghalaya,2532,Cassava and products,5521,Feed,1000 tonnes,47.52,14.55,0,0,0,0,0
AT,11,Meghalaya,2766,Cephalopods,5142,Food,1000 tonnes,47.52,14.55,1,1,1,2,2
AT,11,Meghalaya,2905,Cereals - Excluding Beer,5142,Food,1000 tonnes,47.52,14.55,943,923,942,954,951
AT,11,Meghalaya,2520,"Cereals, Other",5142,Food,1000 tonnes,47.52,14.55,0,0,0,0,0
AT,11,Meghalaya,2614,"Citrus, Other",5142,Food,1000 tonnes,47.52,14.55,9,10,6,6,7
AT,11,Meghalaya,2642,Cloves,5142,Food,1000 tonnes,47.52,14.55,0,0,0,0,0
AT,11,Meghalaya,2633,Cocoa Beans and products,5142,Food,1000 tonnes,47.52,14.55,13,5,5,8,7
AT,11,Meghalaya,2578,Coconut Oil,5142,Food,1000 tonnes,47.52,14.55,5,9,10,10,11
AT,11,Meghalaya,2560,Coconuts - Incl Copra,5142,Food,1000 tonnes,47.52,14.55,6,6,6,6,6
AT,11,Meghalaya,2630,Coffee and products,5142,Food,1000 tonnes,47.52,14.55,54,54,69,83,81
AT,11,Meghalaya,2575,Cottonseed Oil,5142,Food,1000 tonnes,47.52,14.55,1,0,0,0,0
AT,11,Meghalaya,2743,Cream,5142,Food,1000 tonnes,47.52,14.55,53,56,65,61,67
AT,11,Meghalaya,2765,Crustaceans,5521,Feed,1000 tonnes,47.52,14.55,0,0,0,0,0
AT,11,Meghalaya,2619,Dates,5142,Food,1000 tonnes,47.52,14.55,1,1,1,1,1
AT,11,Meghalaya,2762,Demersal Fish,5142,Food,1000 tonnes,47.52,14.55,22,22,24,24,25
AT,11,Meghalaya,2744,Eggs,5142,Food,1000 tonnes,47.52,14.55,114,114,115,118,125
AT,11,Meghalaya,2737,"Fats, Animals, Raw",5142,Food,1000 tonnes,47.52,14.55,86,94,94,97,99
AT,11,Meghalaya,2781,"Fish, Body Oil",5142,Food,1000 tonnes,47.52,14.55,0,0,0,0,0
AT,11,Meghalaya,2782,"Fish, Liver Oil",5142,Food,1000 tonnes,47.52,14.55,0,0,0,0,0
AT,11,Meghalaya,2960,"Fish, Seafood",5521,Feed,1000 tonnes,47.52,14.55,29,29,33,28,25
AT,11,Meghalaya,2761,Freshwater Fish,5142,Food,1000 tonnes,47.52,14.55,32,33,35,35,35
AT,11,Meghalaya,2919,Fruits - Excluding Wine,5142,Food,1000 tonnes,47.52,14.55,1093,1098,1314,1324,1309
AT,11,Meghalaya,2625,"Fruits, Other",5142,Food,1000 tonnes,47.52,14.55,406,383,460,375,443
AT,11,Meghalaya,2613,Grapefruit and products,5142,Food,1000 tonnes,47.52,14.55,7,7,5,7,7
AT,11,Meghalaya,2620,Grapes and products (excl wine),5142,Food,1000 tonnes,47.52,14.55,68,63,67,71,74
AT,11,Meghalaya,2572,Groundnut Oil,5142,Food,1000 tonnes,47.52,14.55,1,1,1,0,0
AT,11,Meghalaya,2745,Honey,5142,Food,1000 tonnes,47.52,14.55,10,9,10,11,11
AT,11,Meghalaya,2680,Infant food,5142,Food,1000 tonnes,47.52,14.55,0,0,0,0,0
AT,11,Meghalaya,2612,"Lemons, Limes and products",5142,Food,1000 tonnes,47.52,14.55,26,26,27,27,31
AT,11,Meghalaya,2514,Maize and products,5142,Food,1000 tonnes,47.52,14.55,115,121,103,106,105
AT,11,Meghalaya,2582,Maize Germ Oil,5142,Food,1000 tonnes,47.52,14.55,6,7,13,8,7
AT,11,Meghalaya,2764,"Marine Fish, Other",5142,Food,1000 tonnes,47.52,14.55,7,7,6,7,7
AT,11,Meghalaya,2943,Meat,5142,Food,1000 tonnes,47.52,14.55,769,780,772,741,772
AT,11,Meghalaya,2735,"Meat, Other",5142,Food,1000 tonnes,47.52,14.55,5,10,10,13,12
AT,11,Meghalaya,2948,Milk - Excluding Butter,5142,Food,1000 tonnes,47.52,14.55,1966,1983,2005,2134,2192
AT,11,Meghalaya,2517,Millet and products,5521,Feed,1000 tonnes,47.52,14.55,5,2,3,5,2
AT,11,Meghalaya,2928,Miscellaneous,5142,Food,1000 tonnes,47.52,14.55,0,0,0,0,0
AT,11,Meghalaya,2767,"Molluscs, Other",5142,Food,1000 tonnes,47.52,14.55,5,6,5,4,4
AT,11,Meghalaya,2732,Mutton & Goat Meat,5142,Food,1000 tonnes,47.52,14.55,9,9,10,10,10
AT,11,Meghalaya,2551,Nuts and products,5142,Food,1000 tonnes,47.52,14.55,58,48,49,53,58
AT,11,Meghalaya,2516,Oats,5142,Food,1000 tonnes,47.52,14.55,14,14,15,17,19
AT,11,Meghalaya,2945,Offals,5142,Food,1000 tonnes,47.52,14.55,6,4,4,8,11
AT,11,Meghalaya,2736,"Offals, Edible",5142,Food,1000 tonnes,47.52,14.55,6,4,4,8,11
AT,11,Meghalaya,2913,Oilcrops,5142,Food,1000 tonnes,47.52,14.55,45,45,47,47,51
AT,11,Meghalaya,2586,"Oilcrops Oil, Other",5142,Food,1000 tonnes,47.52,14.55,29,20,19,13,14
AT,11,Meghalaya,2570,"Oilcrops, Other",5142,Food,1000 tonnes,47.52,14.55,6,5,5,5,3
AT,11,Meghalaya,2580,Olive Oil,5142,Food,1000 tonnes,47.52,14.55,9,9,9,9,8
AT,11,Meghalaya,2563,Olives (including preserved),5142,Food,1000 tonnes,47.52,14.55,6,5,6,6,6
