Area_Abbreviation,Area_Code,Area,Item_Code,Item,Element_Code,Element,Unit,latitude,longitude,Y2009,Y2010,Y2011,Y2012,Y2013
BZ,23,Mizoram,2924,Alcoholic Beverages,5142,Food,1000 tonnes,17.19,-88.5,13,13,13,14,15
BZ,23,Mizoram,2946,Animal fats,5142,Food,1000 tonnes,17.19,-88.5,2,2,2,2,2
BZ,23,Mizoram,2617,Apples and products,5142,Food,1000 tonnes,17.19,-88.5,1,1,1,0,0
BZ,23,Mizoram,2775,Aquatic Plants,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2961,"Aquatic Products, Other",5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2615,Bananas,5142,Food,1000 tonnes,17.19,-88.5,2,4,2,2,2
BZ,23,Mizoram,2513,Barley and products,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2546,Beans,5142,Food,1000 tonnes,17.19,-88.5,2,2,3,3,4
BZ,23,Mizoram,2656,Beer,5142,Food,1000 tonnes,17.19,-88.5,11,10,11,12,12
BZ,23,Mizoram,2658,"Beverages, Alcoholic",5142,Food,1000 tonnes,17.19,-88.5,2,2,2,2,2
BZ,23,Mizoram,2731,Bovine Meat,5142,Food,1000 tonnes,17.19,-88.5,2,1,2,2,2
BZ,23,Mizoram,2740,"Butter, Ghee",5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2532,Cassava and products,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2766,Cephalopods,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2905,Cereals - Excluding Beer,5142,Food,1000 tonnes,17.19,-88.5,39,40,39,35,40
BZ,23,Mizoram,2520,"Cereals, Other",5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2614,"Citrus, Other",5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2642,Cloves,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2633,Cocoa Beans and products,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2560,Coconuts - Incl Copra,5142,Food,1000 tonnes,17.19,-88.5,1,1,0,1,1
BZ,23,Mizoram,2630,Coffee and products,5142,Food,1000 tonnes,17.19,-88.5,1,0,1,1,2
BZ,23,Mizoram,2743,Cream,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2765,Crustaceans,5142,Food,1000 tonnes,17.19,-88.5,1,1,1,1,1
BZ,23,Mizoram,2619,Dates,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2762,Demersal Fish,5142,Food,1000 tonnes,17.19,-88.5,0,0,1,0,0
BZ,23,Mizoram,2949,Eggs,5142,Food,1000 tonnes,17.19,-88.5,2,2,2,1,2
BZ,23,Mizoram,2737,"Fats, Animals, Raw",5142,Food,1000 tonnes,17.19,-88.5,2,2,2,2,2
BZ,23,Mizoram,2781,"Fish, Body Oil",5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2782,"Fish, Liver Oil",5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2960,"Fish, Seafood",5521,Feed,1000 tonnes,17.19,-88.5,2,1,0,0,0
BZ,23,Mizoram,2761,Freshwater Fish,5142,Food,1000 tonnes,17.19,-88.5,2,1,0,0,0
BZ,23,Mizoram,2919,Fruits - Excluding Wine,5521,Feed,1000 tonnes,17.19,-88.5,2,1,1,1,1
BZ,23,Mizoram,2625,"Fruits, Other",5142,Food,1000 tonnes,17.19,-88.5,6,5,5,3,3
BZ,23,Mizoram,2613,Grapefruit and products,5142,Food,1000 tonnes,17.19,-88.5,30,40,19,27,19
BZ,23,Mizoram,2620,Grapes and products (excl wine),5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2556,Groundnuts (Shelled Eq),5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2745,Honey,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2680,Infant food,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2514,Maize and products,5142,Food,1000 tonnes,17.19,-88.5,9,9,9,9,11
BZ,23,Mizoram,2582,Maize Germ Oil,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2764,"Marine Fish, Other",5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2943,Meat,5142,Food,1000 tonnes,17.19,-88.5,13,15,15,17,17
BZ,23,Mizoram,2735,"Meat, Other",5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2948,Milk - Excluding Butter,5142,Food,1000 tonnes,17.19,-88.5,22,23,23,29,27
BZ,23,Mizoram,2928,Miscellaneous,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2767,"Molluscs, Other",5142,Food,1000 tonnes,17.19,-88.5,1,1,1,1,1
BZ,23,Mizoram,2732,Mutton & Goat Meat,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2551,Nuts and products,5142,Food,1000 tonnes,17.19,-88.5,1,1,2,2,2
BZ,23,Mizoram,2516,Oats,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,1,1
BZ,23,Mizoram,2945,Offals,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2736,"Offals, Edible",5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2913,Oilcrops,5142,Food,1000 tonnes,17.19,-88.5,1,1,1,1,2
BZ,23,Mizoram,2586,"Oilcrops Oil, Other",5142,Food,1000 tonnes,17.19,-88.5,1,1,1,2,1
BZ,23,Mizoram,2570,"Oilcrops, Other",5521,Feed,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2580,Olive Oil,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2563,Olives (including preserved),5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2602,Onions,5142,Food,1000 tonnes,17.19,-88.5,1,1,1,1,1
BZ,23,Mizoram,2611,"Oranges, Mandarines",5142,Food,1000 tonnes,17.19,-88.5,26,24,34,31,29
BZ,23,Mizoram,2547,Peas,5142,Food,1000 tonnes,17.19,-88.5,1,2,1,1,1
BZ,23,Mizoram,2763,Pelagic Fish,5142,Food,1000 tonnes,17.19,-88.5,1,2,2,2,2
BZ,23,Mizoram,2640,Pepper,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2733,Pigmeat,5142,Food,1000 tonnes,17.19,-88.5,4,5,5,6,6
BZ,23,Mizoram,2641,Pimento,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2618,Pineapples and products,5142,Food,1000 tonnes,17.19,-88.5,1,1,1,1,1
BZ,23,Mizoram,2616,Plantains,5142,Food,1000 tonnes,17.19,-88.5,6,2,2,2,2
BZ,23,Mizoram,2531,Potatoes and products,5142,Food,1000 tonnes,17.19,-88.5,4,4,4,5,5
BZ,23,Mizoram,2734,Poultry Meat,5142,Food,1000 tonnes,17.19,-88.5,8,8,8,9,9
BZ,23,Mizoram,2911,Pulses,5142,Food,1000 tonnes,17.19,-88.5,3,3,4,5,5
BZ,23,Mizoram,2549,"Pulses, Other and products",5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2558,Rape and Mustardseed,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2805,Rice (Milled Equivalent),5142,Food,1000 tonnes,17.19,-88.5,10,10,10,8,9
BZ,23,Mizoram,2534,"Roots, Other",5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2561,Sesame seed,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2579,Sesameseed Oil,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2518,Sorghum and products,5142,Food,1000 tonnes,17.19,-88.5,1,1,1,1,2
BZ,23,Mizoram,2571,Soyabean Oil,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2555,Soyabeans,5142,Food,1000 tonnes,17.19,-88.5,1,1,0,1,1
BZ,23,Mizoram,2923,Spices,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2645,"Spices, Other",5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2907,Starchy Roots,5142,Food,1000 tonnes,17.19,-88.5,5,5,5,6,6
BZ,23,Mizoram,2922,Stimulants,5142,Food,1000 tonnes,17.19,-88.5,1,1,1,2,2
BZ,23,Mizoram,2909,Sugar & Sweeteners,5142,Food,1000 tonnes,17.19,-88.5,13,14,14,14,14
BZ,23,Mizoram,2542,Sugar (Raw Equivalent),5142,Food,1000 tonnes,17.19,-88.5,12,13,14,14,14
BZ,23,Mizoram,2573,Sunflowerseed Oil,5142,Food,1000 tonnes,17.19,-88.5,1,1,1,1,1
BZ,23,Mizoram,2533,Sweet potatoes,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2543,"Sweeteners, Other",5142,Food,1000 tonnes,17.19,-88.5,1,1,0,0,0
BZ,23,Mizoram,2635,Tea (including mate),5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
BZ,23,Mizoram,2601,Tomatoes and products,5142,Food,1000 tonnes,17.19,-88.5,1,1,1,1,1
BZ,23,Mizoram,2912,Treenuts,5142,Food,1000 tonnes,17.19,-88.5,1,1,2,2,2
BZ,23,Mizoram,2914,Vegetable Oils,5142,Food,1000 tonnes,17.19,-88.5,2,2,2,3,2
BZ,23,Mizoram,2605,"Vegetables, Other",5142,Food,1000 tonnes,17.19,-88.5,11,13,13,13,13
BZ,23,Mizoram,2511,Wheat and products,5142,Food,1000 tonnes,17.19,-88.5,19,20,19,16,18
BZ,23,Mizoram,2655,Wine,5142,Food,1000 tonnes,17.19,-88.5,0,1,0,1,1
BZ,23,Mizoram,2535,Yams,5142,Food,1000 tonnes,17.19,-88.5,0,0,0,0,0
