Area_Abbreviation,Area_Code,Area,Item_Code,Item,Element_Code,Element,Unit,latitude,longitude,Y2009,Y2010,Y2011,Y2012,Y2013
BS,12,Tamil Nadu,2924,Alcoholic Beverages,5142,Food,1000 tonnes,25.03,-77.4,10,9,10,9,8
BS,12,Tamil Nadu,2946,Animal fats,5142,Food,1000 tonnes,25.03,-77.4,2,2,2,2,2
BS,12,Tamil Nadu,2617,Apples and products,5142,Food,1000 tonnes,25.03,-77.4,14,7,5,16,15
BS,12,Tamil Nadu,2769,"Aquatic Animals, Others",5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2775,Aquatic Plants,5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2961,"Aquatic Products, Other",5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2615,Bananas,5142,Food,1000 tonnes,25.03,-77.4,7,7,9,11,10
BS,12,Tamil Nadu,2513,Barley and products,5142,Food,1000 tonnes,25.03,-77.4,1,1,0,1,1
BS,12,Tamil Nadu,2546,Beans,5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2656,Beer,5142,Food,1000 tonnes,25.03,-77.4,3,2,2,1,2
BS,12,Tamil Nadu,2657,"Beverages, Fermented",5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2731,Bovine Meat,5142,Food,1000 tonnes,25.03,-77.4,8,8,6,9,8
BS,12,Tamil Nadu,2740,"Butter, Ghee",5142,Food,1000 tonnes,25.03,-77.4,1,1,1,1,1
BS,12,Tamil Nadu,2532,Cassava and products,5142,Food,1000 tonnes,25.03,-77.4,1,1,1,1,1
BS,12,Tamil Nadu,2766,Cephalopods,5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2905,Cereals - Excluding Beer,5142,Food,1000 tonnes,25.03,-77.4,25,25,24,25,28
BS,12,Tamil Nadu,2520,"Cereals, Other",5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2614,"Citrus, Other",5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2642,Cloves,5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2633,Cocoa Beans and products,5142,Food,1000 tonnes,25.03,-77.4,1,1,1,1,1
BS,12,Tamil Nadu,2578,Coconut Oil,5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2560,Coconuts - Incl Copra,5142,Food,1000 tonnes,25.03,-77.4,0,2,2,3,3
BS,12,Tamil Nadu,2630,Coffee and products,5142,Food,1000 tonnes,25.03,-77.4,2,1,0,2,2
BS,12,Tamil Nadu,2575,Cottonseed Oil,5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2743,Cream,5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2765,Crustaceans,5142,Food,1000 tonnes,25.03,-77.4,3,4,4,4,3
BS,12,Tamil Nadu,2619,Dates,5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2762,Demersal Fish,5142,Food,1000 tonnes,25.03,-77.4,1,1,1,1,1
BS,12,Tamil Nadu,2949,Eggs,5142,Food,1000 tonnes,25.03,-77.4,2,3,3,3,2
BS,12,Tamil Nadu,2737,"Fats, Animals, Raw",5142,Food,1000 tonnes,25.03,-77.4,1,1,1,1,1
BS,12,Tamil Nadu,2781,"Fish, Body Oil",5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2782,"Fish, Liver Oil",5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2960,"Fish, Seafood",5142,Food,1000 tonnes,25.03,-77.4,10,11,11,11,10
BS,12,Tamil Nadu,2761,Freshwater Fish,5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2919,Fruits - Excluding Wine,5142,Food,1000 tonnes,25.03,-77.4,80,94,96,108,105
BS,12,Tamil Nadu,2625,"Fruits, Other",5142,Food,1000 tonnes,25.03,-77.4,14,19,20,20,19
BS,12,Tamil Nadu,2613,Grapefruit and products,5142,Food,1000 tonnes,25.03,-77.4,12,16,18,20,20
BS,12,Tamil Nadu,2620,Grapes and products (excl wine),5142,Food,1000 tonnes,25.03,-77.4,2,1,1,3,2
BS,12,Tamil Nadu,2556,Groundnuts (Shelled Eq),5142,Food,1000 tonnes,25.03,-77.4,0,0,0,1,1
BS,12,Tamil Nadu,2745,Honey,5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2680,Infant food,5142,Food,1000 tonnes,25.03,-77.4,1,1,1,1,1
BS,12,Tamil Nadu,2612,"Lemons, Limes and products",5142,Food,1000 tonnes,25.03,-77.4,7,10,9,14,13
BS,12,Tamil Nadu,2514,Maize and products,5142,Food,1000 tonnes,25.03,-77.4,1,1,1,1,1
BS,12,Tamil Nadu,2582,Maize Germ Oil,5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2764,"Marine Fish, Other",5142,Food,1000 tonnes,25.03,-77.4,1,1,1,1,0
BS,12,Tamil Nadu,2943,Meat,5142,Food,1000 tonnes,25.03,-77.4,39,39,38,42,39
BS,12,Tamil Nadu,2735,"Meat, Other",5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2948,Milk - Excluding Butter,5142,Food,1000 tonnes,25.03,-77.4,36,33,31,38,39
BS,12,Tamil Nadu,2517,Millet and products,5521,Feed,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2928,Miscellaneous,5142,Food,1000 tonnes,25.03,-77.4,1,1,1,1,1
BS,12,Tamil Nadu,2767,"Molluscs, Other",5142,Food,1000 tonnes,25.03,-77.4,1,0,0,1,1
BS,12,Tamil Nadu,2732,Mutton & Goat Meat,5142,Food,1000 tonnes,25.03,-77.4,2,1,1,3,2
BS,12,Tamil Nadu,2551,Nuts and products,5142,Food,1000 tonnes,25.03,-77.4,1,0,0,1,1
BS,12,Tamil Nadu,2516,Oats,5142,Food,1000 tonnes,25.03,-77.4,1,0,0,1,1
BS,12,Tamil Nadu,2945,Offals,5142,Food,1000 tonnes,25.03,-77.4,1,1,1,1,1
BS,12,Tamil Nadu,2736,"Offals, Edible",5142,Food,1000 tonnes,25.03,-77.4,1,1,1,1,1
BS,12,Tamil Nadu,2913,Oilcrops,5142,Food,1000 tonnes,25.03,-77.4,1,3,3,4,4
BS,12,Tamil Nadu,2586,"Oilcrops Oil, Other",5142,Food,1000 tonnes,25.03,-77.4,2,2,2,2,2
BS,12,Tamil Nadu,2570,"Oilcrops, Other",5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
BS,12,Tamil Nadu,2580,Olive Oil,5142,Food,1000 tonnes,25.03,-77.4,0,0,0,0,0
