Area_Abbreviation,Area_Code,Area,Item_Code,Item,Element_Code,Element,Unit,latitude,longitude,Y2009,Y2010,Y2011,Y2012,Y2013
BJ,53,Telangana,2924,Alcoholic Beverages,5142,Food,1000 tonnes,9.31,2.32,106,137,134,139,120
BJ,53,Telangana,2946,Animal fats,5142,Food,1000 tonnes,9.31,2.32,2,2,2,2,2
BJ,53,Telangana,2617,Apples and products,5142,Food,1000 tonnes,9.31,2.32,18,16,27,24,17
BJ,53,Telangana,2769,"Aquatic Animals, Others",5142,Food,1000 tonnes,9.31,2.32,0,0,0,0,0
BJ,53,Telangana,2775,Aquatic Plants,5142,Food,1000 tonnes,9.31,2.32,0,0,0,0,0
BJ,53,Telangana,2961,"Aquatic Products, Other",5142,Food,1000 tonnes,9.31,2.32,0,0,0,0,0
BJ,53,Telangana,2615,Bananas,5142,Food,1000 tonnes,9.31,2.32,15,17,17,18,18
BJ,53,Telangana,2513,Barley and products,5142,Food,1000 tonnes,9.31,2.32,0,0,0,0,0
BJ,53,Telangana,2546,Beans,5142,Food,1000 tonnes,9.31,2.32,104,77,68,63,63
BJ,53,Telangana,2656,Beer,5142,Food,1000 tonnes,9.31,2.32,69,94,91,106,88
BJ,53,Telangana,2657,"Beverages, Fermented",5142,Food,1000 tonnes,9.31,2.32,31,31,31,23,25
BJ,53,Telangana,2731,Bovine Meat,5142,Food,1000 tonnes,9.31,2.32,31,29,31,31,32
BJ,53,Telangana,2740,"Butter, Ghee",5142,Food,1000 tonnes,9.31,2.32,0,0,0,0,0
BJ,53,Telangana,2532,Cassava and products,5142,Food,1000 tonnes,9.31,2.32,1104,1106,1262,1077,1153
BJ,53,Telangana,2766,Cephalopods,5142,Food,1000 tonnes,9.31,2.32,0,0,0,0,0
BJ,53,Telangana,2905,Cereals - Excluding Beer,5142,Food,1000 tonnes,9.31,2.32,1137,1108,1164,1228,1233
BJ,53,Telangana,2520,"Cereals, Other",5142,Food,1000 tonnes,9.31,2.32,1,1,1,1,2
BJ,53,Telangana,2614,"Citrus, Other",5142,Food,1000 tonnes,9.31,2.32,0,0,0,0,0
BJ,53,Telangana,2633,Cocoa Beans and products,5142,Food,1000 tonnes,9.31,2.32,1,1,1,1,1
BJ,53,Telangana,2578,Coconut Oil,5142,Food,1000 tonnes,9.31,2.32,1,2,2,2,2
BJ,53,Telangana,2560,Coconuts - Incl Copra,5142,Food,1000 tonnes,9.31,2.32,3,3,2,4,4
BJ,53,Telangana,2630,Coffee and products,5142,Food,1000 tonnes,9.31,2.32,0,1,1,1,0
BJ,53,Telangana,2575,Cottonseed Oil,5142,Food,1000 tonnes,9.31,2.32,13,5,11,9,10
BJ,53,Telangana,2743,Cream,5142,Food,1000 tonnes,9.31,2.32,0,0,0,0,0
BJ,53,Telangana,2765,Crustaceans,5142,Food,1000 tonnes,9.31,2.32,4,3,3,2,1
BJ,53,Telangana,2619,Dates,5142,Food,1000 tonnes,9.31,2.32,1,1,1,1,1
BJ,53,Telangana,2762,Demersal Fish,5142,Food,1000 tonnes,9.31,2.32,5,5,6,7,5
BJ,53,Telangana,2949,Eggs,5142,Food,1000 tonnes,9.31,2.32,8,7,7,8,9
BJ,53,Telangana,2737,"Fats, Animals, Raw",5142,Food,1000 tonnes,9.31,2.32,2,2,2,2,2
BJ,53,Telangana,2782,"Fish, Liver Oil",5142,Food,1000 tonnes,9.31,2.32,0,0,0,0,0
BJ,53,Telangana,2960,"Fish, Seafood",5142,Food,1000 tonnes,9.31,2.32,123,127,129,129,138
BJ,53,Telangana,2761,Freshwater Fish,5142,Food,1000 tonnes,9.31,2.32,46,51,49,26,27
BJ,53,Telangana,2919,Fruits - Excluding Wine,5142,Food,1000 tonnes,9.31,2.32,373,425,416,533,512
BJ,53,Telangana,2625,"Fruits, Other",5142,Food,1000 tonnes,9.31,2.32,123,134,135,135,138
BJ,53,Telangana,2613,Grapefruit and products,5142,Food,1000 tonnes,9.31,2.32,0,0,0,0,0
BJ,53,Telangana,2620,Grapes and products (excl wine),5142,Food,1000 tonnes,9.31,2.32,2,1,2,2,1
BJ,53,Telangana,2556,Groundnuts (Shelled Eq),5142,Food,1000 tonnes,9.31,2.32,62,79,64,56,64
BJ,53,Telangana,2745,Honey,5142,Food,1000 tonnes,9.31,2.32,0,0,0,0,0
BJ,53,Telangana,2680,Infant food,5142,Food,1000 tonnes,9.31,2.32,1,0,0,1,1
BJ,53,Telangana,2612,"Lemons, Limes and products",5142,Food,1000 tonnes,9.31,2.32,0,1,1,1,0
BJ,53,Telangana,2514,Maize and products,5142,Food,1000 tonnes,9.31,2.32,429,408,394,435,441
BJ,53,Telangana,2582,Maize Germ Oil,5142,Food,1000 tonnes,9.31,2.32,0,0,0,0,0
BJ,53,Telangana,2764,"Marine Fish, Other",5142,Food,1000 tonnes,9.31,2.32,59,58,64,80,88
BJ,53,Telangana,2943,Meat,5142,Food,1000 tonnes,9.31,2.32,149,134,229,260,260
BJ,53,Telangana,2735,"Meat, Other",5142,Food,1000 tonnes,9.31,2.32,7,8,8,9,9
BJ,53,Telangana,2948,Milk - Excluding Butter,5142,Food,1000 tonnes,9.31,2.32,137,83,84,84,87
BJ,53,Telangana,2517,Millet and products,5142,Food,1000 tonnes,9.31,2.32,18,16,15,19,14
BJ,53,Telangana,2928,Miscellaneous,5142,Food,1000 tonnes,9.31,2.32,1,0,0,1,1
BJ,53,Telangana,2767,"Molluscs, Other",5142,Food,1000 tonnes,9.31,2.32,0,0,0,0,0
BJ,53,Telangana,2732,Mutton & Goat Meat,5142,Food,1000 tonnes,9.31,2.32,8,8,8,9,9
BJ,53,Telangana,2551,Nuts and products,5142,Food,1000 tonnes,9.31,2.32,61,47,44,77,66
BJ,53,Telangana,2516,Oats,5142,Food,1000 tonnes,9.31,2.32,0,0,0,0,0
BJ,53,Telangana,2945,Offals,5142,Food,1000 tonnes,9.31,2.32,9,8,9,9,9
BJ,53,Telangana,2736,"Offals, Edible",5142,Food,1000 tonnes,9.31,2.32,9,8,9,9,9
BJ,53,Telangana,2913,Oilcrops,5142,Food,1000 tonnes,9.31,2.32,74,93,77,71,78
BJ,53,Telangana,2586,"Oilcrops Oil, Other",5142,Food,1000 tonnes,9.31,2.32,1,1,3,1,1
BJ,53,Telangana,2570,"Oilcrops, Other",5142,Food,1000 tonnes,9.31,2.32,0,1,1,0,0
BJ,53,Telangana,2580,Olive Oil,5142,Food,1000 tonnes,9.31,2.32,0,0,0,0,0
BJ,53,Telangana,2563,Olives (including preserved),5142,Food,1000 tonnes,9.31,2.32,0,0,0,0,0
BJ,53,Telangana,2602,Onions,5142,Food,1000 tonnes,9.31,2.32,37,8,14,53,42
BJ,53,Telangana,2611,"Oranges, Mandarines",5142,Food,1000 tonnes,9.31,2.32,14,13,13,14,14
BJ,53,Telangana,2577,Palm Oil,5142,Food,1000 tonnes,9.31,2.32,17,18,22,34,33
BJ,53,Telangana,2576,Palmkernel Oil,5142,Food,1000 tonnes,9.31,2.32,3,5,3,3,3
BJ,53,Telangana,2547,Peas,5142,Food,1000 tonnes,9.31,2.32,0,0,0,0,0
BJ,53,Telangana,2763,Pelagic Fish,5142,Food,1000 tonnes,9.31,2.32,9,10,6,13,16
BJ,53,Telangana,2640,Pepper,5142,Food,1000 tonnes,9.31,2.32,0,0,0,0,0
BJ,53,Telangana,2733,Pigmeat,5142,Food,1000 tonnes,9.31,2.32,7,7,9,10,8
BJ,53,Telangana,2641,Pimento,5142,Food,1000 tonnes,9.31,2.32,26,38,38,68,67
BJ,53,Telangana,2618,Pineapples and products,5142,Food,1000 tonnes,9.31,2.32,200,240,220,338,323
BJ,53,Telangana,2531,Potatoes and products,5142,Food,1000 tonnes,9.31,2.32,1,2,2,3,1
BJ,53,Telangana,2734,Poultry Meat,5142,Food,1000 tonnes,9.31,2.32,96,82,173,201,203
BJ,53,Telangana,2911,Pulses,5142,Food,1000 tonnes,9.31,2.32,137,113,102,99,99
BJ,53,Telangana,2549,"Pulses, Other and products",5142,Food,1000 tonnes,9.31,2.32,33,37,34,36,36
BJ,53,Telangana,2574,Rape and Mustard Oil,5142,Food,1000 tonnes,9.31,2.32,0,0,0,0,0
BJ,53,Telangana,2805,Rice (Milled Equivalent),5142,Food,1000 tonnes,9.31,2.32,512,499,555,555,552
BJ,53,Telangana,2534,"Roots, Other",5142,Food,1000 tonnes,9.31,2.32,2,1,2,3,1
BJ,53,Telangana,2561,Sesame seed,5142,Food,1000 tonnes,9.31,2.32,9,10,10,11,9
BJ,53,Telangana,2579,Sesameseed Oil,5142,Food,1000 tonnes,9.31,2.32,0,0,0,0,0
BJ,53,Telangana,2518,Sorghum and products,5521,Feed,1000 tonnes,9.31,2.32,5,5,4,5,6
