Area_Abbreviation,Area_Code,Area,Item_Code,Item,Element_Code,Element,Unit,latitude,longitude,Y2009,Y2010,Y2011,Y2012,Y2013
AL,3,Andhra Pradesh,2924,Alcoholic Beverages,5142,Food,1000 tonnes,41.15,20.17,85,108,121,116,119
AL,3,Andhra Pradesh,2946,Animal fats,5142,Food,1000 tonnes,41.15,20.17,13,11,10,10,8
AL,3,Andhra Pradesh,2617,Apples and products,5142,Food,1000 tonnes,41.15,20.17,57,68,70,74,78
AL,3,Andhra Pradesh,2961,"Aquatic Products, Other",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2615,Bananas,5142,Food,1000 tonnes,41.15,20.17,17,18,17,17,20
AL,3,Andhra Pradesh,2513,Barley and products,5521,Feed,1000 tonnes,41.15,20.17,4,7,8,7,7
AL,3,Andhra Pradesh,2546,Beans,5521,Feed,1000 tonnes,41.15,20.17,0,0,0,1,1
AL,3,Andhra Pradesh,2656,Beer,5142,Food,1000 tonnes,41.15,20.17,61,78,89,84,86
AL,3,Andhra Pradesh,2657,"Beverages, Fermented",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2731,Bovine Meat,5142,Food,1000 tonnes,41.15,20.17,62,67,67,71,71
AL,3,Andhra Pradesh,2740,"Butter, Ghee",5142,Food,1000 tonnes,41.15,20.17,3,3,3,4,4
AL,3,Andhra Pradesh,2532,Cassava and products,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2766,Cephalopods,5142,Food,1000 tonnes,41.15,20.17,1,1,1,1,1
AL,3,Andhra Pradesh,2520,"Cereals, Other",5142,Food,1000 tonnes,41.15,20.17,1,0,0,0,0
AL,3,Andhra Pradesh,2614,"Citrus, Other",5142,Food,1000 tonnes,41.15,20.17,1,1,0,1,1
AL,3,Andhra Pradesh,2633,Cocoa Beans and products,5142,Food,1000 tonnes,41.15,20.17,1,2,2,2,2
AL,3,Andhra Pradesh,2560,Coconuts - Incl Copra,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0
AL,3,Andhra Pradesh,2630,Coffee and products,5142,Food,1000 tonnes,41.15,20.17,7,7,7,8,8
AL,3,Andhra Pradesh,2743,Cream,5142,Food,1000 tonnes,41.15,20.17,0,0,1,0,0
AL,3,Andhra Pradesh,2765,Crustaceans,5142,Food,1000 tonnes,41.15,20.17,0,1,1,1,1
AL,3,Andhra Pradesh,2619,Dates,5142,Food,1000 tonnes,41.15,20.17,9,11,12,12,12
AL,3,Andhra Pradesh,2762,Demersal Fish,5142,Food,1000 tonnes,41.15,20.17,2,3,2,2,3
AL,3,Andhra Pradesh,2949,Eggs,5142,Food,1000 tonnes,41.15,20.17,24,23,24,40,40
AL,3,Andhra Pradesh,2737,"Fats, Animals, Raw",5142,Food,1000 tonnes,41.15,20.17,10,8,6,6,4
