Area_Abbreviation,Area_Code,Area,Item_Code,Item,Element_Code,Element,Unit,latitude,longitude,Y2009,Y2010,Y2011,Y2012,Y2013
DZ,4,Haryana,2924,Alcoholic Beverages,5142,Food,1000 tonnes,28.03,1.66,147,149,157,166,196
DZ,4,Haryana,2946,Animal fats,5142,Food,1000 tonnes,28.03,1.66,21,29,35,28,29
DZ,4,Haryana,2617,Apples and products,5142,Food,1000 tonnes,28.03,1.66,370,466,507,497,544
DZ,4,Haryana,2769,"Aquatic Animals, Others",5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2775,Aquatic Plants,5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2961,"Aquatic Products, Other",5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2615,Bananas,5142,Food,1000 tonnes,28.03,1.66,162,52,221,200,247
DZ,4,Haryana,2513,Barley and products,5521,Feed,1000 tonnes,28.03,1.66,718,778,798,1262,1280
DZ,4,Haryana,2546,Beans,5142,Food,1000 tonnes,28.03,1.66,50,49,78,53,61
DZ,4,Haryana,2656,Beer,5142,Food,1000 tonnes,28.03,1.66,145,146,153,161,188
DZ,4,Haryana,2658,"Beverages, Alcoholic",5142,Food,1000 tonnes,28.03,1.66,2,3,4,5,7
DZ,4,Haryana,2731,Bovine Meat,5142,Food,1000 tonnes,28.03,1.66,208,171,186,222,220
DZ,4,Haryana,2740,"Butter, Ghee",5142,Food,1000 tonnes,28.03,1.66,11,18,23,19,20
DZ,4,Haryana,2532,Cassava and products,5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2766,Cephalopods,5142,Food,1000 tonnes,28.03,1.66,2,1,1,2,2
DZ,4,Haryana,2520,"Cereals, Other",5142,Food,1000 tonnes,28.03,1.66,1,1,1,1,1
DZ,4,Haryana,2614,"Citrus, Other",5142,Food,1000 tonnes,28.03,1.66,8,2,7,22,9
DZ,4,Haryana,2642,Cloves,5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2633,Cocoa Beans and products,5142,Food,1000 tonnes,28.03,1.66,26,27,33,32,41
DZ,4,Haryana,2560,Coconuts - Incl Copra,5142,Food,1000 tonnes,28.03,1.66,13,13,3,11,3
DZ,4,Haryana,2630,Coffee and products,5142,Food,1000 tonnes,28.03,1.66,125,71,119,129,129
DZ,4,Haryana,2765,Crustaceans,5142,Food,1000 tonnes,28.03,1.66,3,3,4,5,5
DZ,4,Haryana,2619,Dates,5142,Food,1000 tonnes,28.03,1.66,570,624,683,754,821
DZ,4,Haryana,2762,Demersal Fish,5142,Food,1000 tonnes,28.03,1.66,15,14,15,17,17
DZ,4,Haryana,2744,Eggs,5142,Food,1000 tonnes,28.03,1.66,170,233,250,280,316
DZ,4,Haryana,2737,"Fats, Animals, Raw",5142,Food,1000 tonnes,28.03,1.66,10,11,12,9,10
DZ,4,Haryana,2781,"Fish, Body Oil",5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2782,"Fish, Liver Oil",5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2960,"Fish, Seafood",5521,Feed,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2761,Freshwater Fish,5142,Food,1000 tonnes,28.03,1.66,2,2,2,13,13
DZ,4,Haryana,2919,Fruits - Excluding Wine,5142,Food,1000 tonnes,28.03,1.66,3186,3347,3864,4073,4477
DZ,4,Haryana,2625,"Fruits, Other",5142,Food,1000 tonnes,28.03,1.66,793,929,1027,1012,1141
DZ,4,Haryana,2613,Grapefruit and products,5142,Food,1000 tonnes,28.03,1.66,1,2,2,2,3
DZ,4,Haryana,2620,Grapes and products (excl wine),5142,Food,1000 tonnes,28.03,1.66,460,505,342,492,512
DZ,4,Haryana,2572,Groundnut Oil,5142,Food,1000 tonnes,28.03,1.66,22,14,20,15,20
DZ,4,Haryana,2556,Groundnuts (Shelled Eq),5142,Food,1000 tonnes,28.03,1.66,9,12,10,7,11
DZ,4,Haryana,2745,Honey,5142,Food,1000 tonnes,28.03,1.66,4,6,5,6,7
DZ,4,Haryana,2680,Infant food,5142,Food,1000 tonnes,28.03,1.66,13,12,20,21,22
DZ,4,Haryana,2612,"Lemons, Limes and products",5142,Food,1000 tonnes,28.03,1.66,55,48,66,71,75
DZ,4,Haryana,2514,Maize and products,5142,Food,1000 tonnes,28.03,1.66,480,691,557,609,627
DZ,4,Haryana,2582,Maize Germ Oil,5142,Food,1000 tonnes,28.03,1.66,4,2,1,2,2
DZ,4,Haryana,2764,"Marine Fish, Other",5142,Food,1000 tonnes,28.03,1.66,14,14,14,17,17
DZ,4,Haryana,2943,Meat,5142,Food,1000 tonnes,28.03,1.66,704,680,750,809,826
DZ,4,Haryana,2735,"Meat, Other",5142,Food,1000 tonnes,28.03,1.66,12,13,14,14,14
DZ,4,Haryana,2848,Milk - Excluding Butter,5142,Food,1000 tonnes,28.03,1.66,4829,4922,5702,5602,5549
DZ,4,Haryana,2517,Millet and products,5521,Feed,1000 tonnes,28.03,1.66,0,0,1,1,1
DZ,4,Haryana,2928,Miscellaneous,5142,Food,1000 tonnes,28.03,1.66,13,12,20,21,22
DZ,4,Haryana,2767,"Molluscs, Other",5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2732,Mutton & Goat Meat,5142,Food,1000 tonnes,28.03,1.66,212,221,270,282,301
DZ,4,Haryana,2551,Nuts and products,5142,Food,1000 tonnes,28.03,1.66,75,75,51,71,71
DZ,4,Haryana,2516,Oats,5521,Feed,1000 tonnes,28.03,1.66,83,77,64,105,107
DZ,4,Haryana,2945,Offals,5142,Food,1000 tonnes,28.03,1.66,44,45,52,53,57
DZ,4,Haryana,2913,Oilcrops,5142,Food,1000 tonnes,28.03,1.66,109,66,124,157,210
DZ,4,Haryana,2580,Olive Oil,5142,Food,1000 tonnes,28.03,1.66,54,43,61,51,68
DZ,4,Haryana,2563,Olives (including preserved),5142,Food,1000 tonnes,28.03,1.66,83,36,106,135,191
DZ,4,Haryana,2602,Onions,5142,Food,1000 tonnes,28.03,1.66,931,951,1087,1124,1277
DZ,4,Haryana,2611,"Oranges, Mandarines",5142,Food,1000 tonnes,28.03,1.66,762,717,1002,1002,1116
DZ,4,Haryana,2562,Palm kernels,5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2577,Palm Oil,5142,Food,1000 tonnes,28.03,1.66,29,23,21,23,29
DZ,4,Haryana,2547,Peas,5142,Food,1000 tonnes,28.03,1.66,15,18,14,17,18
DZ,4,Haryana,2763,Pelagic Fish,5521,Feed,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2640,Pepper,5142,Food,1000 tonnes,28.03,1.66,2,1,2,2,4
DZ,4,Haryana,2733,Pigmeat,5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2641,Pimento,5142,Food,1000 tonnes,28.03,1.66,13,16,19,17,19
DZ,4,Haryana,2618,Pineapples and products,5142,Food,1000 tonnes,28.03,1.66,5,4,7,11,10
DZ,4,Haryana,2616,Plantains,5142,Food,1000 tonnes,28.03,1.66,0,0,0,9,0
DZ,4,Haryana,2531,Potatoes and products,5521,Feed,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2734,Poultry Meat,5142,Food,1000 tonnes,28.03,1.66,271,275,280,291,291
DZ,4,Haryana,2549,"Pulses, Other and products",5521,Feed,1000 tonnes,28.03,1.66,13,13,13,14,14
DZ,4,Haryana,2574,Rape and Mustard Oil,5142,Food,1000 tonnes,28.03,1.66,27,15,16,16,18
DZ,4,Haryana,2805,Rice (Milled Equivalent),5142,Food,1000 tonnes,28.03,1.66,73,102,80,105,117
DZ,4,Haryana,2534,"Roots, Other",5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2515,Rye and products,5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2561,Sesame seed,5142,Food,1000 tonnes,28.03,1.66,3,3,5,4,5
DZ,4,Haryana,2579,Sesameseed Oil,5142,Food,1000 tonnes,28.03,1.66,0,0,0,0,0
DZ,4,Haryana,2518,Sorghum and products,5521,Feed,1000 tonnes,28.03,1.66,0,0,0,0,0
