Area_Abbreviation,Area_Code,Area,Item_Code,Item,Element_Code,Element,Unit,Latitude,Longitude,Y2009,Y2010,Y2011,Y2012,Y2013
BF,233,Kerala,2511,Wheat and products,5142,Food,1000 tonnes,12.24,-1.56,125,134,139,191,188
BF,233,Kerala,2805,Rice (Milled Equivalent),5142,Food,1000 tonnes,12.24,-1.56,336,328,328,350,363
BF,233,Kerala,2513,Barley and products,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2514,Maize and products,5142,Food,1000 tonnes,12.24,-1.56,888,933,1009,1057,1160
BF,233,Kerala,2515,Rye and products,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2517,Millet and products,5142,Food,1000 tonnes,12.24,-1.56,938,961,978,963,963
BF,233,Kerala,2518,Sorghum and products,5142,Food,1000 tonnes,12.24,-1.56,918,962,933,973,981
BF,233,Kerala,2520,"Cereals, Other",5142,Food,1000 tonnes,12.24,-1.56,30,17,14,22,21
BF,233,Kerala,2532,Cassava and products,5142,Food,1000 tonnes,12.24,-1.56,9,11,9,11,15
BF,233,Kerala,2531,Potatoes and products,5142,Food,1000 tonnes,12.24,-1.56,3,3,4,6,5
BF,233,Kerala,2533,Sweet potatoes,5142,Food,1000 tonnes,12.24,-1.56,73,83,126,85,151
BF,233,Kerala,2535,Yams,5142,Food,1000 tonnes,12.24,-1.56,73,88,90,102,82
BF,233,Kerala,2534,"Roots, Other",5142,Food,1000 tonnes,12.24,-1.56,0,0,0,3,3
BF,233,Kerala,2542,Sugar (Raw Equivalent),5142,Food,1000 tonnes,12.24,-1.56,69,73,110,114,119
BF,233,Kerala,2543,"Sweeteners, Other",5142,Food,1000 tonnes,12.24,-1.56,2,3,4,4,6
BF,233,Kerala,2745,Honey,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2546,Beans,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2547,Peas,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,1
BF,233,Kerala,2549,"Pulses, Other and products",5142,Food,1000 tonnes,12.24,-1.56,232,227,225,241,252
BF,233,Kerala,2551,Nuts and products,5142,Food,1000 tonnes,12.24,-1.56,11,11,12,19,17
BF,233,Kerala,2555,Soyabeans,5142,Food,1000 tonnes,12.24,-1.56,14,21,22,23,21
BF,233,Kerala,2556,Groundnuts (Shelled Eq),5142,Food,1000 tonnes,12.24,-1.56,180,189,174,177,179
BF,233,Kerala,2557,Sunflower seed,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2558,Rape and Mustardseed,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2560,Coconuts - Incl Copra,5521,Feed,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2561,Sesame seed,5142,Food,1000 tonnes,12.24,-1.56,6,17,16,14,17
BF,233,Kerala,2563,Olives (including preserved),5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2570,"Oilcrops, Other",5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2571,Soyabean Oil,5142,Food,1000 tonnes,12.24,-1.56,1,0,0,0,0
BF,233,Kerala,2572,Groundnut Oil,5142,Food,1000 tonnes,12.24,-1.56,9,9,9,5,10
BF,233,Kerala,2573,Sunflowerseed Oil,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2574,Rape and Mustard Oil,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2575,Cottonseed Oil,5142,Food,1000 tonnes,12.24,-1.56,46,55,47,53,53
BF,233,Kerala,2576,Palmkernel Oil,5142,Food,1000 tonnes,12.24,-1.56,1,0,0,1,0
BF,233,Kerala,2577,Palm Oil,5142,Food,1000 tonnes,12.24,-1.56,17,28,39,41,44
BF,233,Kerala,2578,Coconut Oil,5142,Food,1000 tonnes,12.24,-1.56,3,4,4,3,3
BF,233,Kerala,2579,Sesameseed Oil,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2580,Olive Oil,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,1,0
BF,233,Kerala,2582,Maize Germ Oil,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,2,3
BF,233,Kerala,2586,"Oilcrops Oil, Other",5142,Food,1000 tonnes,12.24,-1.56,3,2,1,6,7
BF,233,Kerala,2601,Tomatoes and products,5142,Food,1000 tonnes,12.24,-1.56,28,20,20,30,39
BF,233,Kerala,2605,"Vegetables, Other",5142,Food,1000 tonnes,12.24,-1.56,215,258,246,239,246
BF,233,Kerala,2611,"Oranges, Mandarines",5142,Food,1000 tonnes,12.24,-1.56,3,9,7,8,4
BF,233,Kerala,2612,"Lemons, Limes and products",5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2613,Grapefruit and products,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2614,"Citrus, Other",5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,2
BF,233,Kerala,2615,Bananas,5142,Food,1000 tonnes,12.24,-1.56,1,1,1,4,5
BF,233,Kerala,2616,Plantains,5142,Food,1000 tonnes,12.24,-1.56,2,2,2,0,0
BF,233,Kerala,2617,Apples and products,5142,Food,1000 tonnes,12.24,-1.56,1,1,2,2,2
BF,233,Kerala,2618,Pineapples and products,5142,Food,1000 tonnes,12.24,-1.56,1,2,4,3,4
BF,233,Kerala,2619,Dates,5142,Food,1000 tonnes,12.24,-1.56,0,0,1,0,0
BF,233,Kerala,2620,Grapes and products (excl wine),5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2625,"Fruits, Other",5142,Food,1000 tonnes,12.24,-1.56,78,79,83,84,90
BF,233,Kerala,2630,Coffee and products,5142,Food,1000 tonnes,12.24,-1.56,3,5,4,4,4
BF,233,Kerala,2633,Cocoa Beans and products,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2635,Tea (including mate),5142,Food,1000 tonnes,12.24,-1.56,2,2,2,4,6
BF,233,Kerala,2640,Pepper,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2641,Pimento,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2645,"Spices, Other",5142,Food,1000 tonnes,12.24,-1.56,6,5,5,6,6
BF,233,Kerala,2655,Wine,5142,Food,1000 tonnes,12.24,-1.56,4,4,4,6,3
BF,233,Kerala,2656,Beer,5142,Food,1000 tonnes,12.24,-1.56,75,75,90,116,125
BF,233,Kerala,2657,"Beverages, Fermented",5142,Food,1000 tonnes,12.24,-1.56,3122,3273,3173,3310,3339
BF,233,Kerala,2731,Bovine Meat,5142,Food,1000 tonnes,12.24,-1.56,121,124,126,128,76
BF,233,Kerala,2732,Mutton & Goat Meat,5142,Food,1000 tonnes,12.24,-1.56,50,52,53,55,41
BF,233,Kerala,2733,Pigmeat,5142,Food,1000 tonnes,12.24,-1.56,31,31,32,32,33
BF,233,Kerala,2734,Poultry Meat,5142,Food,1000 tonnes,12.24,-1.56,35,37,38,39,38
BF,233,Kerala,2735,"Meat, Other",5142,Food,1000 tonnes,12.24,-1.56,10,10,10,10,11
BF,233,Kerala,2736,"Offals, Edible",5142,Food,1000 tonnes,12.24,-1.56,36,37,38,39,26
BF,233,Kerala,2740,"Butter, Ghee",5142,Food,1000 tonnes,12.24,-1.56,1,1,1,1,2
BF,233,Kerala,2743,Cream,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2737,"Fats, Animals, Raw",5142,Food,1000 tonnes,12.24,-1.56,8,8,8,9,7
BF,233,Kerala,2781,"Fish, Body Oil",5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2744,Eggs,5142,Food,1000 tonnes,12.24,-1.56,40,42,43,44,44
BF,233,Kerala,2848,Milk - Excluding Butter,5521,Feed,1000 tonnes,12.24,-1.56,2,2,2,2,3
BF,233,Kerala,2761,Freshwater Fish,5142,Food,1000 tonnes,12.24,-1.56,7,11,12,18,18
BF,233,Kerala,2762,Demersal Fish,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2763,Pelagic Fish,5521,Feed,1000 tonnes,12.24,-1.56,1,2,4,3,3
BF,233,Kerala,2764,"Marine Fish, Other",5142,Food,1000 tonnes,12.24,-1.56,17,25,49,50,50
BF,233,Kerala,2765,Crustaceans,5142,Food,1000 tonnes,12.24,-1.56,0,1,1,1,1
BF,233,Kerala,2766,Cephalopods,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2767,"Molluscs, Other",5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2775,Aquatic Plants,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2680,Infant food,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,1,1
BF,233,Kerala,2905,Cereals - Excluding Beer,5521,Feed,1000 tonnes,12.24,-1.56,22,28,34,34,34
BF,233,Kerala,2907,Starchy Roots,5142,Food,1000 tonnes,12.24,-1.56,158,185,228,207,255
BF,233,Kerala,2909,Sugar & Sweeteners,5142,Food,1000 tonnes,12.24,-1.56,71,76,114,119,125
BF,233,Kerala,2911,Pulses,5142,Food,1000 tonnes,12.24,-1.56,232,227,225,241,253
BF,233,Kerala,2912,Treenuts,5142,Food,1000 tonnes,12.24,-1.56,11,11,12,19,17
BF,233,Kerala,2913,Oilcrops,5142,Food,1000 tonnes,12.24,-1.56,202,227,213,215,218
BF,233,Kerala,2914,Vegetable Oils,5142,Food,1000 tonnes,12.24,-1.56,81,99,101,112,119
BF,233,Kerala,2918,Vegetables,5142,Food,1000 tonnes,12.24,-1.56,244,278,266,269,286
BF,233,Kerala,2919,Fruits - Excluding Wine,5142,Food,1000 tonnes,12.24,-1.56,86,95,101,103,108
BF,233,Kerala,2922,Stimulants,5142,Food,1000 tonnes,12.24,-1.56,5,7,7,8,11
BF,233,Kerala,2923,Spices,5142,Food,1000 tonnes,12.24,-1.56,6,5,5,6,6
BF,233,Kerala,2924,Alcoholic Beverages,5142,Food,1000 tonnes,12.24,-1.56,3203,3355,3270,3437,3473
BF,233,Kerala,2943,Meat,5142,Food,1000 tonnes,12.24,-1.56,247,254,260,265,199
BF,233,Kerala,2945,Offals,5142,Food,1000 tonnes,12.24,-1.56,36,37,38,39,26
BF,233,Kerala,2946,Animal fats,5142,Food,1000 tonnes,12.24,-1.56,9,9,10,10,8
BF,233,Kerala,2949,Eggs,5142,Food,1000 tonnes,12.24,-1.56,40,42,43,44,44
BF,233,Kerala,2948,Milk - Excluding Butter,5521,Feed,1000 tonnes,12.24,-1.56,2,2,2,2,3
BF,233,Kerala,2960,"Fish, Seafood",5142,Food,1000 tonnes,12.24,-1.56,65,83,107,114,114
BF,233,Kerala,2961,"Aquatic Products, Other",5142,Food,1000 tonnes,12.24,-1.56,0,0,0,0,0
BF,233,Kerala,2928,Miscellaneous,5142,Food,1000 tonnes,12.24,-1.56,0,0,0,1,1
