Area_Abbreviation,Area_Code,Area,Item_Code,Item,Element_Code,Element,Unit,Latitude,Longitude,Y2009,Y2010,Y2011,Y2012,Y2013
TW,214,Ladakh,2511,Wheat and products,5521,Feed,1000 tonnes,23.7,120.96,62,57,68,68,66
TW,214,Ladakh,2805,Rice (Milled Equivalent),5142,Food,1000 tonnes,23.7,120.96,1098,1126,1118,1132,1070
TW,214,Ladakh,2513,Barley and products,5521,Feed,1000 tonnes,23.7,120.96,20,31,16,4,7
TW,214,Ladakh,2514,Maize and products,5142,Food,1000 tonnes,23.7,120.96,143,143,139,148,195
TW,214,Ladakh,2515,Rye and products,5521,Feed,1000 tonnes,23.7,120.96,0,0,0,0,0
TW,214,Ladakh,2516,Oats,5142,Food,1000 tonnes,23.7,120.96,34,41,36,33,36
TW,214,Ladakh,2517,Millet and products,5142,Food,1000 tonnes,23.7,120.96,3,4,3,5,5
TW,214,Ladakh,2518,Sorghum and products,5142,Food,1000 tonnes,23.7,120.96,0,0,0,0,0
TW,214,Ladakh,2520,"Cereals, Other",5142,Food,1000 tonnes,23.7,120.96,19,10,20,18,18
TW,214,Ladakh,2532,Cassava and products,5142,Food,1000 tonnes,23.7,120.96,7,2,1,3,1
TW,214,Ladakh,2531,Potatoes and products,5142,Food,1000 tonnes,23.7,120.96,126,149,157,160,162
TW,214,Ladakh,2533,Sweet potatoes,5142,Food,1000 tonnes,23.7,120.96,121,118,113,110,109
TW,214,Ladakh,2535,Yams,5142,Food,1000 tonnes,23.7,120.96,5,5,4,0,0
TW,214,Ladakh,2534,"Roots, Other",5142,Food,1000 tonnes,23.7,120.96,42,52,44,44,48
TW,214,Ladakh,2536,Sugar cane,5142,Food,1000 tonnes,23.7,120.96,51,47,35,29,30
TW,214,Ladakh,2541,Sugar non-centrifugal,5142,Food,1000 tonnes,23.7,120.96,0,0,0,0,0
TW,214,Ladakh,2543,"Sweeteners, Other",5142,Food,1000 tonnes,23.7,120.96,30,51,52,45,68
TW,214,Ladakh,2745,Honey,5142,Food,1000 tonnes,23.7,120.96,3,8,16,15,17
TW,214,Ladakh,2546,Beans,5142,Food,1000 tonnes,23.7,120.96,40,31,42,39,39
TW,214,Ladakh,2547,Peas,5142,Food,1000 tonnes,23.7,120.96,21,22,21,17,20
TW,214,Ladakh,2549,"Pulses, Other and products",5142,Food,1000 tonnes,23.7,120.96,5,4,5,4,4
TW,214,Ladakh,2551,Nuts and products,5142,Food,1000 tonnes,23.7,120.96,177,178,179,178,178
TW,214,Ladakh,2555,Soyabeans,5142,Food,1000 tonnes,23.7,120.96,391,391,391,396,395
TW,214,Ladakh,2556,Groundnuts (Shelled Eq),5142,Food,1000 tonnes,23.7,120.96,33,33,33,33,33
TW,214,Ladakh,2557,Sunflower seed,5142,Food,1000 tonnes,23.7,120.96,2,2,2,2,3
TW,214,Ladakh,2558,Rape and Mustardseed,5142,Food,1000 tonnes,23.7,120.96,1,1,1,1,1
TW,214,Ladakh,2559,Cottonseed,5521,Feed,1000 tonnes,23.7,120.96,1,1,2,2,1
TW,214,Ladakh,2560,Coconuts - Incl Copra,5142,Food,1000 tonnes,23.7,120.96,38,36,33,30,33
TW,214,Ladakh,2561,Sesame seed,5142,Food,1000 tonnes,23.7,120.96,4,4,4,4,4
TW,214,Ladakh,2562,Palm kernels,5521,Feed,1000 tonnes,23.7,120.96,0,0,0,0,0
TW,214,Ladakh,2563,Olives (including preserved),5142,Food,1000 tonnes,23.7,120.96,3,3,3,3,3
TW,214,Ladakh,2570,"Oilcrops, Other",5142,Food,1000 tonnes,23.7,120.96,6,6,5,0,1
TW,214,Ladakh,2571,Soyabean Oil,5142,Food,1000 tonnes,23.7,120.96,412,394,391,385,373
TW,214,Ladakh,2572,Groundnut Oil,5142,Food,1000 tonnes,23.7,120.96,6,5,6,6,6
TW,214,Ladakh,2576,Palmkernel Oil,5142,Food,1000 tonnes,23.7,120.96,1,1,1,1,1
TW,214,Ladakh,2577,Palm Oil,5142,Food,1000 tonnes,23.7,120.96,71,77,71,74,89
TW,214,Ladakh,2578,Coconut Oil,5142,Food,1000 tonnes,23.7,120.96,6,6,5,6,6
TW,214,Ladakh,2579,Sesameseed Oil,5142,Food,1000 tonnes,23.7,120.96,12,12,10,9,10
TW,214,Ladakh,2580,Olive Oil,5142,Food,1000 tonnes,23.7,120.96,3,3,4,4,5
TW,214,Ladakh,2582,Maize Germ Oil,5142,Food,1000 tonnes,23.7,120.96,4,3,3,6,7
TW,214,Ladakh,2586,"Oilcrops Oil, Other",5142,Food,1000 tonnes,23.7,120.96,3,3,3,3,4
TW,214,Ladakh,2601,Tomatoes and products,5142,Food,1000 tonnes,23.7,120.96,107,119,136,123,126
TW,214,Ladakh,2602,Onions,5142,Food,1000 tonnes,23.7,120.96,88,100,94,106,101
TW,214,Ladakh,2605,"Vegetables, Other",5142,Food,1000 tonnes,23.7,120.96,2378,2359,2462,2375,2372
TW,214,Ladakh,2611,"Oranges, Mandarines",5142,Food,1000 tonnes,23.7,120.96,408,361,383,347,350
TW,214,Ladakh,2612,"Lemons, Limes and products",5142,Food,1000 tonnes,23.7,120.96,8,18,21,23,23
TW,214,Ladakh,2613,Grapefruit and products,5142,Food,1000 tonnes,23.7,120.96,88,99,80,87,80
TW,214,Ladakh,2614,"Citrus, Other",5142,Food,1000 tonnes,23.7,120.96,54,64,67,62,63
TW,214,Ladakh,2615,Bananas,5142,Food,1000 tonnes,23.7,120.96,154,259,282,271,275
TW,214,Ladakh,2617,Apples and products,5142,Food,1000 tonnes,23.7,120.96,146,169,170,161,149
TW,214,Ladakh,2618,Pineapples and products,5142,Food,1000 tonnes,23.7,120.96,398,385,369,359,359
TW,214,Ladakh,2619,Dates,5142,Food,1000 tonnes,23.7,120.96,5,4,4,4,4
TW,214,Ladakh,2620,Grapes and products (excl wine),5142,Food,1000 tonnes,23.7,120.96,135,139,142,134,138
TW,214,Ladakh,2630,Coffee and products,5142,Food,1000 tonnes,23.7,120.96,14,18,18,19,22
TW,214,Ladakh,2633,Cocoa Beans and products,5142,Food,1000 tonnes,23.7,120.96,12,16,15,13,14
TW,214,Ladakh,2635,Tea (including mate),5142,Food,1000 tonnes,23.7,120.96,40,45,43,42,41
TW,214,Ladakh,2640,Pepper,5142,Food,1000 tonnes,23.7,120.96,3,3,4,3,3
TW,214,Ladakh,2641,Pimento,5142,Food,1000 tonnes,23.7,120.96,3,2,3,3,3
TW,214,Ladakh,2642,Cloves,5142,Food,1000 tonnes,23.7,120.96,0,0,0,0,0
TW,214,Ladakh,2645,"Spices, Other",5142,Food,1000 tonnes,23.7,120.96,33,36,37,36,36
TW,214,Ladakh,2655,Wine,5142,Food,1000 tonnes,23.7,120.96,11,16,18,17,16
TW,214,Ladakh,2656,Beer,5142,Food,1000 tonnes,23.7,120.96,609,632,644,679,654
TW,214,Ladakh,2658,"Beverages, Alcoholic",5142,Food,1000 tonnes,23.7,120.96,92,115,112,116,111
TW,214,Ladakh,2731,Bovine Meat,5142,Food,1000 tonnes,23.7,120.96,106,122,121,109,122
TW,214,Ladakh,2732,Mutton & Goat Meat,5142,Food,1000 tonnes,23.7,120.96,23,26,23,21,21
TW,214,Ladakh,2733,Pigmeat,5142,Food,1000 tonnes,23.7,120.96,918,893,912,901,918
TW,214,Ladakh,2734,Poultry Meat,5142,Food,1000 tonnes,23.7,120.96,887,757,788,759,750
TW,214,Ladakh,2735,"Meat, Other",5142,Food,1000 tonnes,23.7,120.96,1,2,1,1,2
TW,214,Ladakh,2736,"Offals, Edible",5142,Food,1000 tonnes,23.7,120.96,74,74,76,75,75
TW,214,Ladakh,2740,"Butter, Ghee",5142,Food,1000 tonnes,23.7,120.96,13,16,18,18,17
TW,214,Ladakh,2743,Cream,5142,Food,1000 tonnes,23.7,120.96,5,7,8,8,7
TW,214,Ladakh,2737,"Fats, Animals, Raw",5142,Food,1000 tonnes,23.7,120.96,47,47,46,46,46
TW,214,Ladakh,2781,"Fish, Body Oil",5142,Food,1000 tonnes,23.7,120.96,0,0,0,0,0
TW,214,Ladakh,2782,"Fish, Liver Oil",5142,Food,1000 tonnes,23.7,120.96,0,0,0,0,0
TW,214,Ladakh,2744,Eggs,5142,Food,1000 tonnes,23.7,120.96,287,303,297,304,305
TW,214,Ladakh,2848,Milk - Excluding Butter,5142,Food,1000 tonnes,23.7,120.96,843,847,949,935,973
TW,214,Ladakh,2761,Freshwater Fish,5142,Food,1000 tonnes,23.7,120.96,129,123,138,170,170
TW,214,Ladakh,2762,Demersal Fish,5142,Food,1000 tonnes,23.7,120.96,68,55,73,89,89
TW,214,Ladakh,2763,Pelagic Fish,5142,Food,1000 tonnes,23.7,120.96,69,81,106,95,95
TW,214,Ladakh,2764,"Marine Fish, Other",5142,Food,1000 tonnes,23.7,120.96,93,104,60,72,72
TW,214,Ladakh,2765,Crustaceans,5142,Food,1000 tonnes,23.7,120.96,79,109,103,107,107
TW,214,Ladakh,2766,Cephalopods,5142,Food,1000 tonnes,23.7,120.96,88,56,122,121,121
TW,214,Ladakh,2767,"Molluscs, Other",5142,Food,1000 tonnes,23.7,120.96,140,168,163,172,172
TW,214,Ladakh,2775,Aquatic Plants,5142,Food,1000 tonnes,23.7,120.96,0,0,0,0,0
TW,214,Ladakh,2680,Infant food,5142,Food,1000 tonnes,23.7,120.96,6,7,6,7,8
TW,214,Ladakh,2905,Cereals - Excluding Beer,5142,Food,1000 tonnes,23.7,120.96,2401,2425,2380,2452,2538
TW,214,Ladakh,2907,Starchy Roots,5142,Food,1000 tonnes,23.7,120.96,300,326,319,318,321
TW,214,Ladakh,2908,Sugar Crops,5142,Food,1000 tonnes,23.7,120.96,51,47,35,29,30
TW,214,Ladakh,2909,Sugar & Sweeteners,5142,Food,1000 tonnes,23.7,120.96,620,666,660,655,691
TW,214,Ladakh,2911,Pulses,5142,Food,1000 tonnes,23.7,120.96,66,57,67,60,64
TW,214,Ladakh,2912,Treenuts,5142,Food,1000 tonnes,23.7,120.96,177,178,179,178,178
TW,214,Ladakh,2913,Oilcrops,5142,Food,1000 tonnes,23.7,120.96,478,476,472,468,472
TW,214,Ladakh,2914,Vegetable Oils,5142,Food,1000 tonnes,23.7,120.96,525,517,503,508,512
